row_index,field,label_or_action,issue_type,reason,student_utterance,miniLM_labels,hope_signals,target_policy_action
6,miniLM_labels,misconception_clue,obvious_missing_label,Strong cue exists but label is not assigned.,"all these symbols are too much for me, can you use simple language please","cognitive_overload, representation_shift, verbal_analogy, simplification_request",High load_risk,EXPLAIN
6,target_policy_action,EXPLAIN,assigned_action_unsupported,Policy action is not semantically supported by utterance/labels.,"all these symbols are too much for me, can you use simple language please","cognitive_overload, representation_shift, verbal_analogy, simplification_request",High load_risk,EXPLAIN
7,miniLM_labels,graphical,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"these grouped freq tables are so big, can we see it as a bar chart or something for less confusion","tabular, graphical, representation_shift","Moderate load_risk, High ki_score opportunity",REPRESENTATION_TRANSLATION
7,miniLM_labels,question,obvious_missing_label,Strong cue exists but label is not assigned.,"these grouped freq tables are so big, can we see it as a bar chart or something for less confusion","tabular, graphical, representation_shift","Moderate load_risk, High ki_score opportunity",REPRESENTATION_TRANSLATION
7,miniLM_labels,confusion,obvious_missing_label,Strong cue exists but label is not assigned.,"these grouped freq tables are so big, can we see it as a bar chart or something for less confusion","tabular, graphical, representation_shift","Moderate load_risk, High ki_score opportunity",REPRESENTATION_TRANSLATION
7,miniLM_labels,request_representation,obvious_missing_label,Strong cue exists but label is not assigned.,"these grouped freq tables are so big, can we see it as a bar chart or something for less confusion","tabular, graphical, representation_shift","Moderate load_risk, High ki_score opportunity",REPRESENTATION_TRANSLATION
7,hope_signals,Moderate load_risk,assigned_label_unsupported,No clear support from utterance or miniLM labels.,"these grouped freq tables are so big, can we see it as a bar chart or something for less confusion","tabular, graphical, representation_shift","Moderate load_risk, High ki_score opportunity",REPRESENTATION_TRANSLATION
7,hope_signals,High ki_score opportunity,assigned_label_unsupported,No clear support from utterance or miniLM labels.,"these grouped freq tables are so big, can we see it as a bar chart or something for less confusion","tabular, graphical, representation_shift","Moderate load_risk, High ki_score opportunity",REPRESENTATION_TRANSLATION
8,miniLM_labels,question,obvious_missing_label,Strong cue exists but label is not assigned.,"i dont get how this HCF LCM relation works, the formula is confusing like product means what","confusion, algebraic",High load_risk,EXPLAIN
8,miniLM_labels,procedural_focus,obvious_missing_label,Strong cue exists but label is not assigned.,"i dont get how this HCF LCM relation works, the formula is confusing like product means what","confusion, algebraic",High load_risk,EXPLAIN
9,miniLM_labels,graphical,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"can you show how these lines actually cut the circle, not just on paper but like a moving one","diagrammatic, request_representation, graphical, question",High ki_score opportunity,VISUAL_ANALOGY
10,miniLM_labels,procedural_focus,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,this theory part is so long pls show me some sum,"procedural_focus, confusion, example_request",High load_risk,WORKED_EXAMPLE
10,miniLM_labels,confusion,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,this theory part is so long pls show me some sum,"procedural_focus, confusion, example_request",High load_risk,WORKED_EXAMPLE
10,miniLM_labels,example_request,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,this theory part is so long pls show me some sum,"procedural_focus, confusion, example_request",High load_risk,WORKED_EXAMPLE
10,miniLM_labels,question,obvious_missing_label,Strong cue exists but label is not assigned.,this theory part is so long pls show me some sum,"procedural_focus, confusion, example_request",High load_risk,WORKED_EXAMPLE
10,miniLM_labels,request_representation,obvious_missing_label,Strong cue exists but label is not assigned.,this theory part is so long pls show me some sum,"procedural_focus, confusion, example_request",High load_risk,WORKED_EXAMPLE
11,miniLM_labels,confusion,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,BPT theorem diagram is easy but like how will i apply it if i have a triangle with like 3 different lines cutting it,"confusion, diagrammatic, representation_shift",High productive_struggle,REPRESENTATION_TRANSLATION
11,miniLM_labels,question,obvious_missing_label,Strong cue exists but label is not assigned.,BPT theorem diagram is easy but like how will i apply it if i have a triangle with like 3 different lines cutting it,"confusion, diagrammatic, representation_shift",High productive_struggle,REPRESENTATION_TRANSLATION
11,miniLM_labels,request_representation,obvious_missing_label,Strong cue exists but label is not assigned.,BPT theorem diagram is easy but like how will i apply it if i have a triangle with like 3 different lines cutting it,"confusion, diagrammatic, representation_shift",High productive_struggle,REPRESENTATION_TRANSLATION
11,hope_signals,High productive_struggle,assigned_label_unsupported,No clear support from utterance or miniLM labels.,BPT theorem diagram is easy but like how will i apply it if i have a triangle with like 3 different lines cutting it,"confusion, diagrammatic, representation_shift",High productive_struggle,REPRESENTATION_TRANSLATION
12,miniLM_labels,confusion,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"quadratic formula looks so scary man, can you like show it with numbers so it makes sense","confusion, anxiety, algebraic, example_request","High load_risk, Low confidence",WORKED_EXAMPLE
12,miniLM_labels,anxiety,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"quadratic formula looks so scary man, can you like show it with numbers so it makes sense","confusion, anxiety, algebraic, example_request","High load_risk, Low confidence",WORKED_EXAMPLE
12,miniLM_labels,example_request,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"quadratic formula looks so scary man, can you like show it with numbers so it makes sense","confusion, anxiety, algebraic, example_request","High load_risk, Low confidence",WORKED_EXAMPLE
12,miniLM_labels,question,obvious_missing_label,Strong cue exists but label is not assigned.,"quadratic formula looks so scary man, can you like show it with numbers so it makes sense","confusion, anxiety, algebraic, example_request","High load_risk, Low confidence",WORKED_EXAMPLE
12,miniLM_labels,request_representation,obvious_missing_label,Strong cue exists but label is not assigned.,"quadratic formula looks so scary man, can you like show it with numbers so it makes sense","confusion, anxiety, algebraic, example_request","High load_risk, Low confidence",WORKED_EXAMPLE
12,miniLM_labels,procedural_focus,obvious_missing_label,Strong cue exists but label is not assigned.,"quadratic formula looks so scary man, can you like show it with numbers so it makes sense","confusion, anxiety, algebraic, example_request","High load_risk, Low confidence",WORKED_EXAMPLE
12,hope_signals,Low confidence,assigned_label_unsupported,No clear support from utterance or miniLM labels.,"quadratic formula looks so scary man, can you like show it with numbers so it makes sense","confusion, anxiety, algebraic, example_request","High load_risk, Low confidence",WORKED_EXAMPLE
14,miniLM_labels,request_representation,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"this sin cos tan full form is so confusing, what does opposite and hypotenuse mean on a real triangle?","confusion, question, diagrammatic, request_representation","High load_risk, High ki_score opportunity",VISUAL_ANALOGY
15,miniLM_labels,confusion,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"when the parabola touches the x axis, that means what? can you show that again pls?","confusion, question, graphical, request_representation",Partial mastery,REPRESENTATION_TRANSLATION
15,miniLM_labels,recurring_error,obvious_missing_label,Strong cue exists but label is not assigned.,"when the parabola touches the x axis, that means what? can you show that again pls?","confusion, question, graphical, request_representation",Partial mastery,REPRESENTATION_TRANSLATION
15,hope_signals,Partial mastery,assigned_label_unsupported,No clear support from utterance or miniLM labels.,"when the parabola touches the x axis, that means what? can you show that again pls?","confusion, question, graphical, request_representation",Partial mastery,REPRESENTATION_TRANSLATION
16,miniLM_labels,confusion,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,i need a simpler way to see this,"confusion, representation_shift, simplification_request",High load_risk,REPRESENTATION_TRANSLATION
16,miniLM_labels,representation_shift,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,i need a simpler way to see this,"confusion, representation_shift, simplification_request",High load_risk,REPRESENTATION_TRANSLATION
17,miniLM_labels,confusion,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"the theorem that tangent is perpendicular to radius, can you like show an animation of that, its hard to imagine","confusion, request_representation, diagrammatic, curiosity",High ki_score opportunity,VISUAL_ANALOGY
17,miniLM_labels,diagrammatic,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"the theorem that tangent is perpendicular to radius, can you like show an animation of that, its hard to imagine","confusion, request_representation, diagrammatic, curiosity",High ki_score opportunity,VISUAL_ANALOGY
17,miniLM_labels,question,obvious_missing_label,Strong cue exists but label is not assigned.,"the theorem that tangent is perpendicular to radius, can you like show an animation of that, its hard to imagine","confusion, request_representation, diagrammatic, curiosity",High ki_score opportunity,VISUAL_ANALOGY
17,miniLM_labels,verbal_analogy,obvious_missing_label,Strong cue exists but label is not assigned.,"the theorem that tangent is perpendicular to radius, can you like show an animation of that, its hard to imagine","confusion, request_representation, diagrammatic, curiosity",High ki_score opportunity,VISUAL_ANALOGY
18,miniLM_labels,frustration,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"words words words, i want to see numbers, an actual problem","frustration, example_request, procedural_focus","Low productive_struggle, High load_risk",WORKED_EXAMPLE
18,miniLM_labels,example_request,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"words words words, i want to see numbers, an actual problem","frustration, example_request, procedural_focus","Low productive_struggle, High load_risk",WORKED_EXAMPLE
18,miniLM_labels,procedural_focus,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"words words words, i want to see numbers, an actual problem","frustration, example_request, procedural_focus","Low productive_struggle, High load_risk",WORKED_EXAMPLE
19,miniLM_labels,confusion,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,how proof by contradiction works? like in words i get it but how to write it for exams what are the steps,"confusion, question, procedural_focus, representation_shift","Moderate productive_struggle, Partial mastery",EXPLAIN
19,miniLM_labels,representation_shift,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,how proof by contradiction works? like in words i get it but how to write it for exams what are the steps,"confusion, question, procedural_focus, representation_shift","Moderate productive_struggle, Partial mastery",EXPLAIN
19,miniLM_labels,anxiety,obvious_missing_label,Strong cue exists but label is not assigned.,how proof by contradiction works? like in words i get it but how to write it for exams what are the steps,"confusion, question, procedural_focus, representation_shift","Moderate productive_struggle, Partial mastery",EXPLAIN
20,miniLM_labels,confusion,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,this whole explanation is like totally theoretical can u show a practical example na,"confusion, example_request, question",High load_risk,WORKED_EXAMPLE
20,miniLM_labels,anxiety,obvious_missing_label,Strong cue exists but label is not assigned.,this whole explanation is like totally theoretical can u show a practical example na,"confusion, example_request, question",High load_risk,WORKED_EXAMPLE
20,miniLM_labels,request_representation,obvious_missing_label,Strong cue exists but label is not assigned.,this whole explanation is like totally theoretical can u show a practical example na,"confusion, example_request, question",High load_risk,WORKED_EXAMPLE
20,miniLM_labels,physical,obvious_missing_label,Strong cue exists but label is not assigned.,this whole explanation is like totally theoretical can u show a practical example na,"confusion, example_request, question",High load_risk,WORKED_EXAMPLE
21,miniLM_labels,confusion,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"when i draw the lines for these equations they dont intersect exactly at integer points, how to read that?","confusion, graphical, procedural_focus, question","Moderate load_risk,High productive_struggle",REPRESENTATION_TRANSLATION
21,miniLM_labels,graphical,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"when i draw the lines for these equations they dont intersect exactly at integer points, how to read that?","confusion, graphical, procedural_focus, question","Moderate load_risk,High productive_struggle",REPRESENTATION_TRANSLATION
21,miniLM_labels,procedural_focus,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"when i draw the lines for these equations they dont intersect exactly at integer points, how to read that?","confusion, graphical, procedural_focus, question","Moderate load_risk,High productive_struggle",REPRESENTATION_TRANSLATION
21,miniLM_labels,request_representation,obvious_missing_label,Strong cue exists but label is not assigned.,"when i draw the lines for these equations they dont intersect exactly at integer points, how to read that?","confusion, graphical, procedural_focus, question","Moderate load_risk,High productive_struggle",REPRESENTATION_TRANSLATION
21,miniLM_labels,diagrammatic,obvious_missing_label,Strong cue exists but label is not assigned.,"when i draw the lines for these equations they dont intersect exactly at integer points, how to read that?","confusion, graphical, procedural_focus, question","Moderate load_risk,High productive_struggle",REPRESENTATION_TRANSLATION
22,miniLM_labels,confusion,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"can u show this in another way, my brain not getting it this way","confusion, representation_shift, question, simplification_request",High load_risk,REPRESENTATION_TRANSLATION
22,miniLM_labels,simplification_request,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"can u show this in another way, my brain not getting it this way","confusion, representation_shift, question, simplification_request",High load_risk,REPRESENTATION_TRANSLATION
22,miniLM_labels,cognitive_overload,obvious_missing_label,Strong cue exists but label is not assigned.,"can u show this in another way, my brain not getting it this way","confusion, representation_shift, question, simplification_request",High load_risk,REPRESENTATION_TRANSLATION
22,miniLM_labels,request_representation,obvious_missing_label,Strong cue exists but label is not assigned.,"can u show this in another way, my brain not getting it this way","confusion, representation_shift, question, simplification_request",High load_risk,REPRESENTATION_TRANSLATION
22,miniLM_labels,ready_for_next,obvious_missing_label,Strong cue exists but label is not assigned.,"can u show this in another way, my brain not getting it this way","confusion, representation_shift, question, simplification_request",High load_risk,REPRESENTATION_TRANSLATION
23,miniLM_labels,confusion,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"AAA similarity means what exactly, like can you show me two triangles that are similar just by angles","confusion, example_request, diagrammatic","Moderate load_risk,High ki_score opportunity",VISUAL_ANALOGY
23,miniLM_labels,example_request,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"AAA similarity means what exactly, like can you show me two triangles that are similar just by angles","confusion, example_request, diagrammatic","Moderate load_risk,High ki_score opportunity",VISUAL_ANALOGY
23,miniLM_labels,question,obvious_missing_label,Strong cue exists but label is not assigned.,"AAA similarity means what exactly, like can you show me two triangles that are similar just by angles","confusion, example_request, diagrammatic","Moderate load_risk,High ki_score opportunity",VISUAL_ANALOGY
23,miniLM_labels,request_representation,obvious_missing_label,Strong cue exists but label is not assigned.,"AAA similarity means what exactly, like can you show me two triangles that are similar just by angles","confusion, example_request, diagrammatic","Moderate load_risk,High ki_score opportunity",VISUAL_ANALOGY
24,miniLM_labels,question,obvious_missing_label,Strong cue exists but label is not assigned.,"too much text here, can i just see the formula and an example sum please","cognitive_overload, example_request",High load_risk,WORKED_EXAMPLE
24,miniLM_labels,anxiety,obvious_missing_label,Strong cue exists but label is not assigned.,"too much text here, can i just see the formula and an example sum please","cognitive_overload, example_request",High load_risk,WORKED_EXAMPLE
24,miniLM_labels,procedural_focus,obvious_missing_label,Strong cue exists but label is not assigned.,"too much text here, can i just see the formula and an example sum please","cognitive_overload, example_request",High load_risk,WORKED_EXAMPLE
25,miniLM_labels,confusion,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"proof by contradiction is so weird, why do we assume it's true then prove it's false, can you show steps with root 2 example again","confusion, procedural_focus, example_request","Moderate load_risk,Partial mastery",EXPLAIN
25,miniLM_labels,question,obvious_missing_label,Strong cue exists but label is not assigned.,"proof by contradiction is so weird, why do we assume it's true then prove it's false, can you show steps with root 2 example again","confusion, procedural_focus, example_request","Moderate load_risk,Partial mastery",EXPLAIN
25,miniLM_labels,anxiety,obvious_missing_label,Strong cue exists but label is not assigned.,"proof by contradiction is so weird, why do we assume it's true then prove it's false, can you show steps with root 2 example again","confusion, procedural_focus, example_request","Moderate load_risk,Partial mastery",EXPLAIN
25,miniLM_labels,request_representation,obvious_missing_label,Strong cue exists but label is not assigned.,"proof by contradiction is so weird, why do we assume it's true then prove it's false, can you show steps with root 2 example again","confusion, procedural_focus, example_request","Moderate load_risk,Partial mastery",EXPLAIN
25,miniLM_labels,recurring_error,obvious_missing_label,Strong cue exists but label is not assigned.,"proof by contradiction is so weird, why do we assume it's true then prove it's false, can you show steps with root 2 example again","confusion, procedural_focus, example_request","Moderate load_risk,Partial mastery",EXPLAIN
26,miniLM_labels,low_confidence,obvious_missing_label,Strong cue exists but label is not assigned.,"can u make this into a drawing, i cant imagine it","request_representation, diagrammatic, question","Low productive_struggle,High load_risk",REPRESENTATION_TRANSLATION
26,miniLM_labels,verbal_analogy,obvious_missing_label,Strong cue exists but label is not assigned.,"can u make this into a drawing, i cant imagine it","request_representation, diagrammatic, question","Low productive_struggle,High load_risk",REPRESENTATION_TRANSLATION
26,hope_signals,Low productive_struggle,assigned_label_unsupported,No clear support from utterance or miniLM labels.,"can u make this into a drawing, i cant imagine it","request_representation, diagrammatic, question","Low productive_struggle,High load_risk",REPRESENTATION_TRANSLATION
26,hope_signals,High load_risk,assigned_label_unsupported,No clear support from utterance or miniLM labels.,"can u make this into a drawing, i cant imagine it","request_representation, diagrammatic, question","Low productive_struggle,High load_risk",REPRESENTATION_TRANSLATION
27,miniLM_labels,diagrammatic,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"when we combine solids, the surface area calculation is confusing, which parts to add which to subtract, like show it with colours na","confusion, diagrammatic, request_representation, question","High load_risk,Partial mastery",VISUAL_ANALOGY
27,miniLM_labels,procedural_focus,obvious_missing_label,Strong cue exists but label is not assigned.,"when we combine solids, the surface area calculation is confusing, which parts to add which to subtract, like show it with colours na","confusion, diagrammatic, request_representation, question","High load_risk,Partial mastery",VISUAL_ANALOGY
27,hope_signals,Partial mastery,assigned_label_unsupported,No clear support from utterance or miniLM labels.,"when we combine solids, the surface area calculation is confusing, which parts to add which to subtract, like show it with colours na","confusion, diagrammatic, request_representation, question","High load_risk,Partial mastery",VISUAL_ANALOGY
28,miniLM_labels,confusion,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,the formula an = a + (n-1)d is fine but how to know what is 'a' and 'd' from a story problem? give me an example with like ages,"confusion, example_request, transfer_attempt, question","Moderate load_risk,Low productive_struggle",WORKED_EXAMPLE
28,miniLM_labels,transfer_attempt,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,the formula an = a + (n-1)d is fine but how to know what is 'a' and 'd' from a story problem? give me an example with like ages,"confusion, example_request, transfer_attempt, question","Moderate load_risk,Low productive_struggle",WORKED_EXAMPLE
28,miniLM_labels,anxiety,obvious_missing_label,Strong cue exists but label is not assigned.,the formula an = a + (n-1)d is fine but how to know what is 'a' and 'd' from a story problem? give me an example with like ages,"confusion, example_request, transfer_attempt, question","Moderate load_risk,Low productive_struggle",WORKED_EXAMPLE
28,miniLM_labels,verbal_analogy,obvious_missing_label,Strong cue exists but label is not assigned.,the formula an = a + (n-1)d is fine but how to know what is 'a' and 'd' from a story problem? give me an example with like ages,"confusion, example_request, transfer_attempt, question","Moderate load_risk,Low productive_struggle",WORKED_EXAMPLE
28,miniLM_labels,procedural_focus,obvious_missing_label,Strong cue exists but label is not assigned.,the formula an = a + (n-1)d is fine but how to know what is 'a' and 'd' from a story problem? give me an example with like ages,"confusion, example_request, transfer_attempt, question","Moderate load_risk,Low productive_struggle",WORKED_EXAMPLE
28,hope_signals,Low productive_struggle,assigned_label_unsupported,No clear support from utterance or miniLM labels.,the formula an = a + (n-1)d is fine but how to know what is 'a' and 'd' from a story problem? give me an example with like ages,"confusion, example_request, transfer_attempt, question","Moderate load_risk,Low productive_struggle",WORKED_EXAMPLE
28,hope_signals,Low productive_struggle,semantic_contradiction,Hope signal conflicts with miniLM/utterance cues.,the formula an = a + (n-1)d is fine but how to know what is 'a' and 'd' from a story problem? give me an example with like ages,"confusion, example_request, transfer_attempt, question","Moderate load_risk,Low productive_struggle",WORKED_EXAMPLE
29,miniLM_labels,abstraction_attempt,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"sin square theta plus cos square theta equals 1, but why? can u draw the triangle and show how it comes from pythagoras theorem?","curiosity, diagrammatic, abstraction_attempt, question","High productive_struggle,High ki_score",VISUAL_ANALOGY
29,miniLM_labels,request_representation,obvious_missing_label,Strong cue exists but label is not assigned.,"sin square theta plus cos square theta equals 1, but why? can u draw the triangle and show how it comes from pythagoras theorem?","curiosity, diagrammatic, abstraction_attempt, question","High productive_struggle,High ki_score",VISUAL_ANALOGY
29,hope_signals,High productive_struggle,assigned_label_unsupported,No clear support from utterance or miniLM labels.,"sin square theta plus cos square theta equals 1, but why? can u draw the triangle and show how it comes from pythagoras theorem?","curiosity, diagrammatic, abstraction_attempt, question","High productive_struggle,High ki_score",VISUAL_ANALOGY
30,miniLM_labels,confusion,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"this diagram is not clear to me, can you zoom in or show it from another angle?","confusion, question, diagrammatic",High load_risk,REPRESENTATION_TRANSLATION
30,miniLM_labels,request_representation,obvious_missing_label,Strong cue exists but label is not assigned.,"this diagram is not clear to me, can you zoom in or show it from another angle?","confusion, question, diagrammatic",High load_risk,REPRESENTATION_TRANSLATION
30,miniLM_labels,prerequisite_weakness,obvious_missing_label,Strong cue exists but label is not assigned.,"this diagram is not clear to me, can you zoom in or show it from another angle?","confusion, question, diagrammatic",High load_risk,REPRESENTATION_TRANSLATION
30,miniLM_labels,ready_for_next,obvious_missing_label,Strong cue exists but label is not assigned.,"this diagram is not clear to me, can you zoom in or show it from another angle?","confusion, question, diagrammatic",High load_risk,REPRESENTATION_TRANSLATION
31,miniLM_labels,confusion,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"the proof for root 2 being irrational, it's so abstract, can we see it with numbers changing or like a step by step animation?","confusion, question, representation_shift, example_request","Moderate load_risk, High ki_score opportunity",REPRESENTATION_TRANSLATION
31,miniLM_labels,representation_shift,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"the proof for root 2 being irrational, it's so abstract, can we see it with numbers changing or like a step by step animation?","confusion, question, representation_shift, example_request","Moderate load_risk, High ki_score opportunity",REPRESENTATION_TRANSLATION
31,miniLM_labels,example_request,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"the proof for root 2 being irrational, it's so abstract, can we see it with numbers changing or like a step by step animation?","confusion, question, representation_shift, example_request","Moderate load_risk, High ki_score opportunity",REPRESENTATION_TRANSLATION
31,miniLM_labels,verbal_analogy,obvious_missing_label,Strong cue exists but label is not assigned.,"the proof for root 2 being irrational, it's so abstract, can we see it with numbers changing or like a step by step animation?","confusion, question, representation_shift, example_request","Moderate load_risk, High ki_score opportunity",REPRESENTATION_TRANSLATION
31,miniLM_labels,procedural_focus,obvious_missing_label,Strong cue exists but label is not assigned.,"the proof for root 2 being irrational, it's so abstract, can we see it with numbers changing or like a step by step animation?","confusion, question, representation_shift, example_request","Moderate load_risk, High ki_score opportunity",REPRESENTATION_TRANSLATION
32,miniLM_labels,confusion,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"too many words here, can you summarise it in like points or a flowchart?","confusion, request_representation, question",High load_risk,REPRESENTATION_TRANSLATION
32,miniLM_labels,request_representation,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"too many words here, can you summarise it in like points or a flowchart?","confusion, request_representation, question",High load_risk,REPRESENTATION_TRANSLATION
32,miniLM_labels,verbal_analogy,obvious_missing_label,Strong cue exists but label is not assigned.,"too many words here, can you summarise it in like points or a flowchart?","confusion, request_representation, question",High load_risk,REPRESENTATION_TRANSLATION
