index,category,utterance,old_action,new_action,rule,old_labels,new_labels
256,1,"The way this is written is very hard to follow. Can you rephrase it in simpler words, like how my friend would explain it?",SOCRATIC_Q,EXPLAIN,confusion->explain,"curiosity, environmental_feedback, question, simplification_request","curiosity, environmental_feedback, question, simplification_request"
260,1,"I'm not getting the point of this. What exactly are we trying to achieve here? Like, what's the big picture?",REPRESENTATION_TRANSLATION,EXPLAIN,utility->explain,"curiosity, question, representation_shift, request_representation","curiosity, question"
296,1,"like what does AAA similarity actually mean? can you show me two triangles that are similar just by angles, like animate it?",EXPLAIN,REPRESENTATION_TRANSLATION,visual->repr_translation,"algebraic, curiosity, diagrammatic, question, representation_shift, request_representation","algebraic, curiosity, diagrammatic, question, representation_shift, request_representation"
297,1,"this thing is so abstract, i don't get it. can we use like a story or a real life thing to understand?",EXPLAIN,EXPLAIN,(labels-only),"abstraction_attempt, confusion, curiosity, physical, question, transfer_attempt, verbal_analogy","abstraction_attempt, confusion, curiosity, question, transfer_attempt, verbal_analogy"
308,1,This whole chapter is too theoretical. can you give me a more practical example or something I can relate to daily life?,ANALOGOUS_EXAMPLE,ANALOGOUS_EXAMPLE,(labels-only),"curiosity, example_request, physical, question, self_monitoring, transfer_attempt","curiosity, example_request, question, self_monitoring, transfer_attempt"
309,1,"i can't picture this in my head, is there some kind of simulation or interactive thing where I can play with the numbers?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"cognitive_overload, curiosity, low_confidence, physical, question, representation_shift, request_representation, self_monitoring","cognitive_overload, curiosity, low_confidence, question, representation_shift, request_representation, self_monitoring"
327,1,"why is this even useful? like in real life, where would i use these coordinate geometry formulas?",EXPLAIN,EXPLAIN,(labels-only),"curiosity, physical, question, transfer_attempt","curiosity, question, transfer_attempt"
339,1,"all this theory is so abstract, can you give me one example from real life where this is used? like practical use",ANALOGOUS_EXAMPLE,ANALOGOUS_EXAMPLE,(labels-only),"abstraction_attempt, curiosity, example_request, physical, question, transfer_attempt","abstraction_attempt, curiosity, example_request, question, transfer_attempt"
343,1,collinearity means points on a line right? can you plot three points on graph paper and show me how they are collinear or not? like step by step,REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"answer_attempt, curiosity, diagrammatic, example_request, graphical, procedural_focus, question, representation_shift, request_representation","answer_attempt, curiosity, diagrammatic, example_request, graphical, physical, procedural_focus, question, representation_shift, request_representation"
345,1,"this explanation is too complex na, can you tell it in simpler words, like what exactly it means?",SOCRATIC_Q,EXPLAIN,confusion->explain,"curiosity, environmental_feedback, question, simplification_request","curiosity, environmental_feedback, question, simplification_request"
360,1,"all this theory is not entering my head, can we just do some problems? practical examples na.",EXPLAIN,EXPLAIN,(labels-only),"abstraction_attempt, cognitive_overload, curiosity, physical, question, transfer_attempt","abstraction_attempt, cognitive_overload, curiosity, question, transfer_attempt"
366,1,"these 0, 30, 45, 60, 90 degree values for sin cos, how to remember? is there some trick like a table or a hand method?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"algebraic, curiosity, physical, procedural_focus, question, representation_shift, request_representation, shortcut_seeking, tabular","algebraic, curiosity, procedural_focus, question, representation_shift, request_representation, shortcut_seeking, tabular"
386,1,"it's all theory only na. give me one real-life example where this is used, i can understand better then.",WORKED_EXAMPLE,ANALOGOUS_EXAMPLE,everyday->analogous_example,"abstraction_attempt, curiosity, example_request, question, self_monitoring","abstraction_attempt, curiosity, example_request, question, self_monitoring"
390,1,"this is too abstract, how is it useful in daily life? like for what reason we are studying this?",EXPLAIN,EXPLAIN,(labels-only),"abstraction_attempt, curiosity, physical, question, transfer_attempt","abstraction_attempt, curiosity, question, transfer_attempt"
408,1,"the examples are just numbers, but i need to see it applied to a real situation. like, what's a practical problem for this?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"curiosity, physical, question, representation_shift, request_representation, self_monitoring, transfer_attempt","curiosity, question, representation_shift, request_representation, self_monitoring, transfer_attempt"
411,1,"this is too hard to understand from just words, can you show me a picture or like a small summary table?",EXPLAIN,REPRESENTATION_TRANSLATION,visual->repr_translation,"curiosity, environmental_feedback, frustration, question, representation_shift, request_representation, tabular","curiosity, environmental_feedback, frustration, question, representation_shift, request_representation, tabular"
414,1,why are we even learning this? can you give me like one real-world example?,WORKED_EXAMPLE,ANALOGOUS_EXAMPLE,everyday->analogous_example,"curiosity, example_request, question","curiosity, example_request, question"
422,1,"this proof by contradiction method is like mind games, can you explain it with a normal everyday example not math example?",SOCRATIC_Q,ANALOGOUS_EXAMPLE,everyday->analogous_example,"abstraction_attempt, algebraic, curiosity, procedural_focus, question","abstraction_attempt, algebraic, curiosity, example_request, procedural_focus, question"
445,1,"sin cos tan, it's always about opposite, hypotenuse. but which one is opposite? can you like animate it so i see clearly as the angle changes?",EXPLAIN,REPRESENTATION_TRANSLATION,visual->repr_translation,"algebraic, curiosity, diagrammatic, high_confidence, question","algebraic, curiosity, diagrammatic, high_confidence, question, representation_shift, request_representation"
448,1,"all this math is too abstract for me. can you show me where i would actually use this in real life, like with a picture or a video?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"abstraction_attempt, curiosity, environmental_feedback, physical, question, representation_shift, request_representation, self_monitoring, transfer_attempt","abstraction_attempt, curiosity, environmental_feedback, question, representation_shift, request_representation, self_monitoring, transfer_attempt"
450,1,"i can't understand this without seeing it with my own eyes. can we use like blocks or something to make it physical, not just on screen?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"curiosity, environmental_feedback, low_confidence, physical, question, representation_shift, request_representation, self_monitoring","confusion, curiosity, environmental_feedback, low_confidence, physical, question, representation_shift, request_representation, self_monitoring"
453,1,this concept is very abstract na. can you give me a more practical example?,ANALOGOUS_EXAMPLE,ANALOGOUS_EXAMPLE,(labels-only),"abstraction_attempt, curiosity, example_request, physical, question, transfer_attempt","abstraction_attempt, curiosity, example_request, question, transfer_attempt"
455,1,what's the big picture here? like why are we learning this? just tell me the main point.,REPRESENTATION_TRANSLATION,EXPLAIN,utility->explain,"curiosity, question, representation_shift, request_representation, shortcut_seeking","curiosity, question, shortcut_seeking"
459,1,"what exactly is an irrational number? like in real life, can you give an example that is not a number, like what else is irrational?",ANALOGOUS_EXAMPLE,ANALOGOUS_EXAMPLE,(labels-only),"curiosity, example_request, physical, question, transfer_attempt","curiosity, example_request, question, transfer_attempt"
463,1,"this explanation is too theoretical, can we try a practical example with numbers, please?",WORKED_EXAMPLE,WORKED_EXAMPLE,(labels-only),"curiosity, example_request, physical, question, transfer_attempt","curiosity, example_request, question, transfer_attempt"
479,1,"i am looking at the definition but i don't get what it means practically, can you show me a real life thing where this concept is used?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"abstraction_attempt, confusion, curiosity, physical, question, representation_shift, request_representation, transfer_attempt","abstraction_attempt, confusion, curiosity, question, representation_shift, request_representation, transfer_attempt"
486,1,"what is this abstract math, give me a real life example na? like where do i use this?",ANALOGOUS_EXAMPLE,ANALOGOUS_EXAMPLE,(labels-only),"abstraction_attempt, curiosity, example_request, physical, question, transfer_attempt","abstraction_attempt, curiosity, example_request, question, transfer_attempt"
513,1,"all these sin 30, cos 45 values, my brain is not storing them. is there some trick like a hand gesture or a table to remember?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"algebraic, cognitive_overload, curiosity, physical, question, representation_shift, request_representation, self_monitoring, shortcut_seeking, tabular","algebraic, cognitive_overload, curiosity, question, representation_shift, request_representation, self_monitoring, shortcut_seeking, tabular"
514,1,it's all theory theory. can you give a real life example of this concept? like how it's used daily?,ANALOGOUS_EXAMPLE,ANALOGOUS_EXAMPLE,(labels-only),"abstraction_attempt, curiosity, example_request, physical, question, transfer_attempt","abstraction_attempt, curiosity, example_request, question, transfer_attempt"
527,1,can you give me an everyday example for this concept na? like something i can relate to.,WORKED_EXAMPLE,ANALOGOUS_EXAMPLE,everyday->analogous_example,"abstraction_attempt, curiosity, example_request, question, self_monitoring","abstraction_attempt, curiosity, example_request, question, self_monitoring"
536,1,"this is so much theory, where is the practical part? can you show me a real life connection?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"abstraction_attempt, curiosity, physical, question, representation_shift, request_representation, transfer_attempt","abstraction_attempt, curiosity, question, representation_shift, request_representation, transfer_attempt"
544,1,why are we even studying this? is there any real life use case? like a proper example please na.,EXPLAIN,EXPLAIN,(labels-only),"curiosity, physical, question, transfer_attempt","curiosity, question, transfer_attempt"
553,1,"all this theory na, my head is spinning. can you show one real life problem where we use this, please?",EXPLAIN,EXPLAIN,(labels-only),"abstraction_attempt, cognitive_overload, curiosity, physical, question, transfer_attempt","abstraction_attempt, cognitive_overload, curiosity, question, transfer_attempt"
554,1,"proof by contradiction is like, very confusing. first assume it's true then false? can you like flowchart this logic for me or give a non-math example?",WORKED_EXAMPLE,ANALOGOUS_EXAMPLE,everyday->analogous_example,"abstraction_attempt, algebraic, confusion, curiosity, example_request, graphical, question, self_monitoring, verbal_analogy","abstraction_attempt, algebraic, confusion, curiosity, example_request, graphical, question, self_monitoring, verbal_analogy"
565,1,why are we learning AP? like where do we use this in real life? can you give a simple example from home or something?,ANALOGOUS_EXAMPLE,ANALOGOUS_EXAMPLE,(labels-only),"algebraic, curiosity, example_request, physical, question, simplification_request, transfer_attempt","algebraic, curiosity, example_request, question, simplification_request, transfer_attempt"
572,1,"proof by contradiction is like, we assume opposite and then show it's impossible. but how does that logically prove the original thing? is there a simpler way to understand this method?",SOCRATIC_Q,EXPLAIN,confusion->explain,"abstraction_attempt, algebraic, curiosity, procedural_focus, question, simplification_request","abstraction_attempt, algebraic, curiosity, procedural_focus, question, simplification_request"
575,1,I can't visualize what this concept is talking about. can you give me a simple real-life example to make sense?,WORKED_EXAMPLE,ANALOGOUS_EXAMPLE,everyday->analogous_example,"abstraction_attempt, curiosity, example_request, low_confidence, question, self_monitoring, simplification_request","abstraction_attempt, curiosity, example_request, low_confidence, question, self_monitoring, simplification_request"
584,1,i don't get this concept. can you give me like a super simple everyday example to understand this better?,WORKED_EXAMPLE,ANALOGOUS_EXAMPLE,everyday->analogous_example,"abstraction_attempt, confusion, curiosity, example_request, question, simplification_request","abstraction_attempt, confusion, curiosity, example_request, question, simplification_request"
592,1,"all these formulas are just numbers, how does it look like in real life? any picture for this?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"curiosity, physical, question, representation_shift, request_representation, transfer_attempt","curiosity, question, representation_shift, request_representation, transfer_attempt"
595,1,"how to remember sin cos tan values for 0, 30, 45, 60, 90? is there a table or like a hand trick to remember easily?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"algebraic, curiosity, physical, question, representation_shift, request_representation, shortcut_seeking, tabular","algebraic, curiosity, question, representation_shift, request_representation, shortcut_seeking, tabular"
599,1,"the relation between hcf, lcm and product of two numbers, can you explain with a numerical example please? the formula is just abstract for me.",SOCRATIC_Q,WORKED_EXAMPLE,numeric_example->worked_example,"abstraction_attempt, algebraic, curiosity, procedural_focus, question, self_monitoring","abstraction_attempt, algebraic, curiosity, example_request, procedural_focus, question, self_monitoring"
604,1,"this whole explanation is too theoretical, can you show it like a practical problem happening in front of me?",EXPLAIN,EXPLAIN,(labels-only),"curiosity, physical, question, transfer_attempt","curiosity, question, transfer_attempt"
644,1,"proof by contradiction is like, really confusing my brain. can you give a simple everyday example, not math, to show how it works?",WORKED_EXAMPLE,ANALOGOUS_EXAMPLE,everyday->analogous_example,"abstraction_attempt, algebraic, cognitive_overload, confusion, curiosity, example_request, question, self_monitoring, simplification_request","abstraction_attempt, algebraic, cognitive_overload, confusion, curiosity, example_request, question, self_monitoring, simplification_request"
648,1,"sin 60 is root 3 by 2 and cos 30 is also root 3 by 2, i always mix them up. is there a table or a hand trick to remember this?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"algebraic, answer_attempt, curiosity, low_confidence, physical, question, recurring_error, representation_shift, request_representation, shortcut_seeking, tabular","algebraic, answer_attempt, curiosity, low_confidence, question, recurring_error, representation_shift, request_representation, shortcut_seeking, tabular"
658,1,"The theorem about tangent and radius making 90 degrees, why is it always like that? Can you animate it or something to make me believe it?",EXPLAIN,REPRESENTATION_TRANSLATION,visual->repr_translation,"algebraic, curiosity, diagrammatic, question","algebraic, curiosity, diagrammatic, question, representation_shift, request_representation"
661,1,"i don't understand what the picture means here, can you highlight the important parts for me?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"curiosity, question, representation_shift, request_representation, self_monitoring","confusion, curiosity, question, representation_shift, request_representation, self_monitoring"
670,1,"how does this contradiction method work? like why do we assume opposite to prove something, can you give an example not from maths?",WORKED_EXAMPLE,ANALOGOUS_EXAMPLE,everyday->analogous_example,"abstraction_attempt, curiosity, example_request, procedural_focus, question","abstraction_attempt, curiosity, example_request, procedural_focus, question"
675,1,why r we learning this? like what is the point of this concept in real life?,EXPLAIN,EXPLAIN,(labels-only),"abstraction_attempt, curiosity, physical, question, transfer_attempt","abstraction_attempt, curiosity, question, transfer_attempt"
689,1,"this whole thing is like too abstract, can you make it like a real-world example instead of just formulas?",SOCRATIC_Q,ANALOGOUS_EXAMPLE,everyday->analogous_example,"abstraction_attempt, curiosity, question","abstraction_attempt, curiosity, example_request, question"
700,1,"all this theory na, can you give me like a real life example where we use this?",ANALOGOUS_EXAMPLE,ANALOGOUS_EXAMPLE,(labels-only),"abstraction_attempt, curiosity, example_request, physical, question, transfer_attempt","abstraction_attempt, curiosity, example_request, question, transfer_attempt"
705,1,"proof by contradiction is like, you assume it's right but then prove it wrong? how does that work in real life? any normal example?",EXPLAIN,EXPLAIN,(labels-only),"abstraction_attempt, algebraic, answer_attempt, confusion, curiosity, low_confidence, physical, question, transfer_attempt","abstraction_attempt, algebraic, answer_attempt, confusion, curiosity, low_confidence, question, transfer_attempt"
713,1,this is all like theory only. can you give me a daily life example so i can connect better?,ANALOGOUS_EXAMPLE,ANALOGOUS_EXAMPLE,(labels-only),"abstraction_attempt, curiosity, example_request, physical, question, self_monitoring, transfer_attempt","abstraction_attempt, curiosity, example_request, question, self_monitoring, transfer_attempt"
717,1,"i can't just imagine this concept, can we try using some physical objects or maybe a drawing to make it more real?",EXPLAIN,REPRESENTATION_TRANSLATION,manipulative->repr_translation,"abstraction_attempt, curiosity, diagrammatic, low_confidence, physical, question, self_monitoring, verbal_analogy","abstraction_attempt, curiosity, diagrammatic, low_confidence, physical, question, representation_shift, request_representation, self_monitoring, verbal_analogy"
728,1,This whole explanation is like very theoretical. Can you make it like a story or a real life situation?,EXPLAIN,EXPLAIN,(labels-only),"curiosity, physical, question, transfer_attempt, verbal_analogy","curiosity, question, transfer_attempt, verbal_analogy"
729,1,"this theory is too abstract, can you show me a picture or something what this actually means?",EXPLAIN,REPRESENTATION_TRANSLATION,visual->repr_translation,"abstraction_attempt, curiosity, question, representation_shift, request_representation","abstraction_attempt, curiosity, question, representation_shift, request_representation"
733,1,"sin cos tan, like what do these actually mean in a triangle? can you show me with a changing angle, like a animation?",EXPLAIN,REPRESENTATION_TRANSLATION,visual->repr_translation,"algebraic, curiosity, diagrammatic, question, representation_shift, request_representation","algebraic, curiosity, diagrammatic, question, representation_shift, request_representation"
738,1,"all this is just theory, is there any real life example where we use this? makes it more clear na.",EXPLAIN,EXPLAIN,(labels-only),"abstraction_attempt, curiosity, high_confidence, physical, question, transfer_attempt","abstraction_attempt, curiosity, high_confidence, question, transfer_attempt"
739,1,"this whole thing is just words, can you show it like a drawing please? i can't understand",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"curiosity, diagrammatic, environmental_feedback, low_confidence, question, representation_shift, request_representation, self_monitoring","confusion, curiosity, diagrammatic, environmental_feedback, low_confidence, question, representation_shift, request_representation, self_monitoring"
750,1,"this contradiction proof in maths, can you explain the actual idea behind it in simple language, without using any big math words?",SOCRATIC_Q,EXPLAIN,confusion->explain,"abstraction_attempt, algebraic, curiosity, environmental_feedback, question, simplification_request","abstraction_attempt, algebraic, curiosity, environmental_feedback, question, simplification_request"
753,1,"proof by contradiction is so hard, like why we assume false thing to prove true? can you give a real life example na?",ANALOGOUS_EXAMPLE,ANALOGOUS_EXAMPLE,(labels-only),"abstraction_attempt, algebraic, curiosity, example_request, physical, question, transfer_attempt","abstraction_attempt, algebraic, curiosity, example_request, question, transfer_attempt"
754,1,"all these big words, i can't understand. can you simplify it in easy words na?",ENCOURAGE,ENCOURAGE,(labels-only),"curiosity, environmental_feedback, low_confidence, question, self_monitoring, simplification_request","confusion, curiosity, environmental_feedback, low_confidence, question, self_monitoring, simplification_request"
762,1,"this full page is just words, i can't understand. can you make it into bullet points or a flow chart please?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"cognitive_overload, curiosity, environmental_feedback, graphical, low_confidence, question, representation_shift, request_representation, self_monitoring","cognitive_overload, confusion, curiosity, environmental_feedback, graphical, low_confidence, question, representation_shift, request_representation, self_monitoring"
789,1,"this is so abstract na. can you give me a real-life example where this concept is used, like how does it help?",WORKED_EXAMPLE,ANALOGOUS_EXAMPLE,everyday->analogous_example,"abstraction_attempt, curiosity, example_request, question","abstraction_attempt, curiosity, example_request, question"
791,1,"this explanation is too theoretical, can you show me a practical example please?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"curiosity, physical, question, representation_shift, request_representation, transfer_attempt","curiosity, question, representation_shift, request_representation, transfer_attempt"
796,1,"i don't understand the language here, can you use simpler words?",SOCRATIC_Q,EXPLAIN,confusion->explain,"curiosity, environmental_feedback, question, simplification_request","confusion, curiosity, environmental_feedback, question, simplification_request"
797,1,"BPT theorem, i know it says lines are parallel then ratios are equal. but how does that actually look like if i measure them? can you animate it?",EXPLAIN,REPRESENTATION_TRANSLATION,visual->repr_translation,"algebraic, curiosity, diagrammatic, high_confidence, question","algebraic, curiosity, diagrammatic, high_confidence, question, representation_shift, request_representation"
798,1,"this graph is confusing, what does the curve represent in real life?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"confusion, curiosity, graphical, physical, question, representation_shift, request_representation, transfer_attempt","confusion, curiosity, graphical, question, representation_shift, request_representation, transfer_attempt"
808,1,"i don't get the main idea of proof by contradiction, like why do we start by assuming it's false? can you give me a real life example of this logic?",ANALOGOUS_EXAMPLE,ANALOGOUS_EXAMPLE,(labels-only),"abstraction_attempt, algebraic, confusion, curiosity, example_request, physical, question, transfer_attempt","abstraction_attempt, algebraic, confusion, curiosity, example_request, question, transfer_attempt"
817,1,"This part is like very abstract, can you show me a practical example where this rule is actually used?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"abstraction_attempt, curiosity, physical, question, representation_shift, request_representation, transfer_attempt","abstraction_attempt, curiosity, question, representation_shift, request_representation, transfer_attempt"
821,1,"this theory is too abstract, can you show it with a number example na?",SOCRATIC_Q,WORKED_EXAMPLE,numeric_example->worked_example,"abstraction_attempt, curiosity, question","abstraction_attempt, curiosity, example_request, question"
825,1,where do we even use this in real life? give me an example like a story problem.,ANALOGOUS_EXAMPLE,ANALOGOUS_EXAMPLE,(labels-only),"curiosity, example_request, physical, question, transfer_attempt, verbal_analogy","curiosity, example_request, question, transfer_attempt, verbal_analogy"
