row_index,field,label_or_action,issue_type,reason,student_utterance,miniLM_labels,hope_signals,target_policy_action
2946,target_policy_action,QUIZ,semantic_contradiction,Policy action conflicts with learner state cues.,can we skip this? i already know this from tuition.,"topic_shift, shortcut_seeking, low_confidence, question","Low productive_struggle, Surface engagement",QUIZ
3096,target_policy_action,ENCOURAGE,semantic_contradiction,Policy action conflicts with learner state cues.,are we done with this chapter or what? when can we move to something else?,"disengagement, topic_shift, ready_for_next, question","Low productive_struggle,Surface engagement",ENCOURAGE
3280,miniLM_labels,low_confidence,semantic_contradiction,Utterance contains cues that oppose this assigned label.,"similar figures na, is it like a repeat of congruence from 9th? this feels too easy, what's the catch?","skepticism, low_confidence, topic_shift, question","Prerequisite awareness, Surface engagement",REVIEW
3371,target_policy_action,QUIZ,semantic_contradiction,Policy action conflicts with learner state cues.,"yaar this is taking too long, let's move to a new topic.","frustration, disengagement, topic_shift",Low productive_struggle,QUIZ
3372,target_policy_action,QUIZ,semantic_contradiction,Policy action conflicts with learner state cues.,"so mean of grouped data, this much is enough na? for boards?","ready_for_next, low_confidence, question",Mastery threshold met,QUIZ
3413,target_policy_action,QUIZ,semantic_contradiction,Policy action conflicts with learner state cues.,"tangents from external point are equal, yes, i remember. what's next in circles, sectors or something?","ready_for_next, topic_shift, low_confidence, question","Surface engagement,Mastery threshold met",QUIZ
3420,hope_signals,High confidence,semantic_contradiction,Hope signal conflicts with miniLM/utterance cues.,"is this all for this part? can we speed up a bit, i feel like im wasting time","ready_for_next, topic_shift, frustration, question","Surface engagement,High confidence",TRANSFER_PROBLEM
3438,target_policy_action,QUIZ,semantic_contradiction,Policy action conflicts with learner state cues.,next chapter kab? i am done with this one,"ready_for_next, topic_shift, frustration, question",Mastery threshold met,QUIZ
3441,target_policy_action,QUIZ,semantic_contradiction,Policy action conflicts with learner state cues.,this is taking too long. can we move to something else now?,"disengagement, frustration, topic_shift, question",Low productive_struggle,QUIZ
3490,target_policy_action,TRANSFER_PROBLEM,semantic_contradiction,Policy action conflicts with learner state cues.,"this topic is boring me, can we do something else now?","disengagement, topic_shift, frustration, question",Low productive_struggle,TRANSFER_PROBLEM
3529,hope_signals,High confidence,semantic_contradiction,Hope signal conflicts with miniLM/utterance cues.,why are we still learning about basic HCF LCM? isn't this like 8th standard stuff?,"topic_shift, curiosity, low_confidence, question",High confidence,TRANSFER_PROBLEM
3529,target_policy_action,TRANSFER_PROBLEM,semantic_contradiction,Policy action conflicts with learner state cues.,why are we still learning about basic HCF LCM? isn't this like 8th standard stuff?,"topic_shift, curiosity, low_confidence, question",High confidence,TRANSFER_PROBLEM
3568,miniLM_labels,low_confidence,semantic_contradiction,Utterance contains cues that oppose this assigned label.,"i never understood proof by contradiction properly only, so this whole proving root 2 irrational is hard for me from starting","confusion, frustration, low_confidence",Prerequisite weakness,BRIDGE_RECAP
3616,hope_signals,High confidence,semantic_contradiction,Hope signal conflicts with miniLM/utterance cues.,"this is taking too long na, i already know this from last year, can we speed up please?","frustration, topic_shift, question",High confidence,QUIZ
3616,target_policy_action,QUIZ,semantic_contradiction,Policy action conflicts with learner state cues.,"this is taking too long na, i already know this from last year, can we speed up please?","frustration, topic_shift, question",High confidence,QUIZ
3626,hope_signals,High confidence,semantic_contradiction,Hope signal conflicts with miniLM/utterance cues.,contradiction proof is like same as last one only na? can we skip this example?,"topic_shift, frustration, ready_for_next, question, example_request",High confidence,QUIZ
3626,target_policy_action,QUIZ,semantic_contradiction,Policy action conflicts with learner state cues.,contradiction proof is like same as last one only na? can we skip this example?,"topic_shift, frustration, ready_for_next, question, example_request",High confidence,QUIZ
3636,hope_signals,High confidence,semantic_contradiction,Hope signal conflicts with miniLM/utterance cues.,"this is too slow, can we fast forward a bit please?","frustration, topic_shift, question","Low productive_struggle, High confidence",QUIZ
3636,target_policy_action,QUIZ,semantic_contradiction,Policy action conflicts with learner state cues.,"this is too slow, can we fast forward a bit please?","frustration, topic_shift, question","Low productive_struggle, High confidence",QUIZ
3712,miniLM_labels,high_confidence,semantic_contradiction,Utterance contains cues that oppose this assigned label.,"ok this is clear now, no confusion. show me harder problem or next topic na, i got this.","ready_for_next, topic_shift, high_confidence","Mastery threshold met, High confidence",TRANSFER_PROBLEM
3786,miniLM_labels,low_confidence,semantic_contradiction,Utterance contains cues that oppose this assigned label.,"parabola graph for quadratic is still confusing me, it's like i never properly understood graphs in junior class only.","confusion, low_confidence, self_monitoring","Prerequisite weakness,High load_risk",REPRESENTATION_TRANSLATION
3857,target_policy_action,QUIZ,semantic_contradiction,Policy action conflicts with learner state cues.,"i always use substitution method, can i skip learning elimination? it's too much","shortcut_seeking, topic_shift, low_confidence, question",Low productive_struggle,QUIZ
3967,miniLM_labels,ready_for_next,semantic_contradiction,Utterance contains cues that oppose this assigned label.,can we just use quadratic formula for all quadratic equations? factoring is confusing sometimes.,"shortcut_seeking, confusion, ready_for_next, question","Low confidence,Prerequisite weakness",SOCRATIC_Q
4004,target_policy_action,QUIZ,semantic_contradiction,Policy action conflicts with learner state cues.,"uffff frequency tables are so boring, can we do probability instead? that was fun","disengagement, topic_shift, frustration, question",Low productive_struggle,QUIZ
4103,hope_signals,High confidence,semantic_contradiction,Hope signal conflicts with miniLM/utterance cues.,"consistent inconsistent dependent systems are easy, is it coming in boards na? can we move on to like graphical method questions?","ready_for_next, anxiety, topic_shift, question","High confidence,Mastery threshold met",QUIZ
4103,target_policy_action,QUIZ,semantic_contradiction,Policy action conflicts with learner state cues.,"consistent inconsistent dependent systems are easy, is it coming in boards na? can we move on to like graphical method questions?","ready_for_next, anxiety, topic_shift, question","High confidence,Mastery threshold met",QUIZ
4153,target_policy_action,QUIZ,semantic_contradiction,Policy action conflicts with learner state cues.,"this proof by contradiction is so boring and long, can we just skip it and do something useful like probability?","topic_shift, disengagement, frustration, shortcut_seeking, question","Low productive_struggle,High load_risk",QUIZ
4239,hope_signals,High confidence,semantic_contradiction,Hope signal conflicts with miniLM/utterance cues.,"i know what an AP is and its definition. can we move to the formulas now, like nth term and sum?","ready_for_next, topic_shift, low_confidence, question","Mastery threshold met,High confidence",TRANSFER_PROBLEM
4297,target_policy_action,QUIZ,semantic_contradiction,Policy action conflicts with learner state cues.,"this topic is taking too long na, can we change to something else?","frustration, disengagement, topic_shift, question","Low productive_struggle,High load_risk",QUIZ
4313,target_policy_action,QUIZ,semantic_contradiction,Policy action conflicts with learner state cues.,"so similar figures means same shape different size, right? just to confirm before we go deeper","self_monitoring, low_confidence, question",Partial mastery,QUIZ
4334,target_policy_action,RESUME_STATE,semantic_contradiction,Policy action conflicts with learner state cues.,"this proof by contradiction method is giving me a headache, can we just do simple proofs first, or move on to something else?","frustration, topic_shift, cognitive_overload, question, simplification_request","High load_risk,Low productive_struggle",RESUME_STATE
4422,target_policy_action,RESUME_STATE,semantic_contradiction,Policy action conflicts with learner state cues.,"This contradiction method is very hard for my brain. Can we just do another topic now? I can come back to this later, maybe.","frustration, cognitive_overload, topic_shift, question","High load_risk, Low productive_struggle",RESUME_STATE
4509,miniLM_labels,low_confidence,semantic_contradiction,Utterance contains cues that oppose this assigned label.,"this discriminant thing, i thought i understood it but now i'm totally lost. is it that hard or am i just bad at this?","low_confidence, confusion, anxiety, question","Low confidence, High load_risk, Recurring error",MISCONCEPTION_PROBE
4737,miniLM_labels,low_confidence,semantic_contradiction,Utterance contains cues that oppose this assigned label.,"i am feeling so dumb right now, why cant i get this simple thing","low_confidence, frustration, self_monitoring, simplification_request","Low confidence,High load_risk",ENCOURAGE
4757,miniLM_labels,low_confidence,semantic_contradiction,Utterance contains cues that oppose this assigned label.,"i feel so dumb, i thought i understood but now nothing makes sense","low_confidence, confusion, self_monitoring","High load_risk, Low confidence",METACOGNITIVE_REFLECT
5404,miniLM_labels,low_confidence,semantic_contradiction,Utterance contains cues that oppose this assigned label.,"I just feel so stupid, like why can't I get this when everyone else can?","low_confidence, anxiety, frustration, question","High load_risk,Low confidence",ENCOURAGE
5523,miniLM_labels,low_confidence,semantic_contradiction,Utterance contains cues that oppose this assigned label.,"i feel so dumb right now, why cant i get this simple thing?","low_confidence, frustration, question, simplification_request","Low confidence,High load_risk",ENCOURAGE
5665,target_policy_action,TRANSFER_PROBLEM,semantic_contradiction,Policy action conflicts with learner state cues.,bpt theorem always means ad/db = ae/ec na? i just use that ratio and solve.,"procedural_focus, answer_attempt, low_confidence, question","Low ct_score,Surface engagement",TRANSFER_PROBLEM
5745,target_policy_action,TRANSFER_PROBLEM,semantic_contradiction,Policy action conflicts with learner state cues.,"Nth term of AP, I just need to remember the a + (n-1)d formula na? The questions are all just about putting values.","procedural_focus, shortcut_seeking, low_confidence, question","Low productive_struggle,Surface engagement",TRANSFER_PROBLEM
6261,target_policy_action,QUIZ,semantic_contradiction,Policy action conflicts with learner state cues.,"What types of questions come from this topic in the final exam, like which pattern is most common?","anxiety, question, ready_for_next","Surface engagement, Low ct_score",QUIZ
6383,target_policy_action,RESUME_STATE,semantic_contradiction,Policy action conflicts with learner state cues.,can we finish this topic fast? i still have so many chapters to cover before boards.,"ready_for_next, anxiety, topic_shift, question","High load_risk,Surface engagement",RESUME_STATE
6435,target_policy_action,TRANSFER_PROBLEM,semantic_contradiction,Policy action conflicts with learner state cues.,nth term of AP is a + (n-1)d na? just need to put values in this formula only right?,"procedural_focus, answer_attempt, low_confidence, question","Partial mastery,Surface engagement",TRANSFER_PROBLEM
6485,target_policy_action,TRANSFER_PROBLEM,semantic_contradiction,Policy action conflicts with learner state cues.,"distance formula, section formula, midpoint formula, if i know these three, can i do all coordinate geometry sums? like without understanding the graph part","procedural_focus, shortcut_seeking, low_confidence, question","Low productive_struggle,Low ki_score",TRANSFER_PROBLEM
6812,miniLM_labels,low_confidence,semantic_contradiction,Utterance contains cues that oppose this assigned label.,"i don't understand why this formula is like this, it seems too easy. is there a catch for board exams or something?","skepticism, low_confidence, question, anxiety","Low productive_struggle,High load_risk",ENCOURAGE
6812,miniLM_labels,anxiety,semantic_contradiction,Utterance contains cues that oppose this assigned label.,"i don't understand why this formula is like this, it seems too easy. is there a catch for board exams or something?","skepticism, low_confidence, question, anxiety","Low productive_struggle,High load_risk",ENCOURAGE
7124,miniLM_labels,low_confidence,semantic_contradiction,Utterance contains cues that oppose this assigned label.,"this solution seems too easy, is it correct only? like always check the answer from back of book na?","low_confidence, skepticism, self_monitoring, question","Low productive_struggle,Low confidence",ENCOURAGE
7796,miniLM_labels,low_confidence,semantic_contradiction,Utterance contains cues that oppose this assigned label.,"this tangent length thing, it's not sticking, i feel like i understood but then i get stuck.","confusion, low_confidence, self_monitoring","Moderate load_risk,Moderate ct_score",WORKED_EXAMPLE
7805,miniLM_labels,low_confidence,semantic_contradiction,Utterance contains cues that oppose this assigned label.,"i dont think i understood anything, it's all hazy in my head, like a blur","confusion, low_confidence, cognitive_overload",High load_risk,REVIEW
7932,miniLM_labels,low_confidence,semantic_contradiction,Utterance contains cues that oppose this assigned label.,"like i thought i understood but now im lost again, its all a blur","confusion, cognitive_overload, low_confidence",High load_risk,BRIDGE_RECAP
7971,miniLM_labels,low_confidence,semantic_contradiction,Utterance contains cues that oppose this assigned label.,"i thought i understood but looking at this new sum, i'm blank. everything just vanished.","low_confidence, confusion, self_monitoring",Moderate load_risk,BRIDGE_RECAP
8220,miniLM_labels,low_confidence,semantic_contradiction,Utterance contains cues that oppose this assigned label.,"the logic is getting mixed up in my head, i thought i understood but then its like a big jumble now","confusion, cognitive_overload, low_confidence",High load_risk,BRIDGE_RECAP
8285,miniLM_labels,low_confidence,semantic_contradiction,Utterance contains cues that oppose this assigned label.,"wait, no, i think i misunderstood something completely. let me try to restart but i dont even know where to begin from.","self_correction, confusion, low_confidence, cognitive_overload",High load_risk,BRIDGE_RECAP
8326,miniLM_labels,low_confidence,semantic_contradiction,Utterance contains cues that oppose this assigned label.,"the converse of BPT, i understood BPT but then converse is like similar but not quite. it confuses me which one to use when.","confusion, low_confidence, cognitive_overload",High load_risk,BRIDGE_RECAP
8412,miniLM_labels,low_confidence,semantic_contradiction,Utterance contains cues that oppose this assigned label.,"i thought i understood but now when i look at this, its like my mind is blank, everything vanished.","low_confidence, frustration, cognitive_overload, confusion",High load_risk,SOCRATIC_Q
8571,miniLM_labels,low_confidence,semantic_contradiction,Utterance contains cues that oppose this assigned label.,"i thought i understood the example, but now this new problem is making me rethink everything. why is it different?","confusion, skepticism, low_confidence, cognitive_overload, question, example_request",High load_risk,WORKED_EXAMPLE
8584,miniLM_labels,low_confidence,semantic_contradiction,Utterance contains cues that oppose this assigned label.,"i feel like i understood it when you explained but now i cant do it on my own, it's like a block or something.","low_confidence, confusion, cognitive_overload","High load_risk,Low confidence",WORKED_EXAMPLE
8688,miniLM_labels,low_confidence,semantic_contradiction,Utterance contains cues that oppose this assigned label.,"this discriminant part na, i thought i understood it but now its not clicking with the problems, something is off","confusion, low_confidence, self_monitoring",Moderate load_risk,SOCRATIC_Q
8791,miniLM_labels,low_confidence,semantic_contradiction,Utterance contains cues that oppose this assigned label.,"i'm stuck, like i feel like i understood before but now i don't know where to start or what to do.","frustration, low_confidence, cognitive_overload, request_hint",High load_risk,SOCRATIC_Q
8823,miniLM_labels,low_confidence,semantic_contradiction,Utterance contains cues that oppose this assigned label.,"i understood but then i cant explain it to myself, its like on the tip of my tongue but not coming out","low_confidence, self_monitoring, confusion","Moderate ct_score, Low productive_struggle",SOCRATIC_Q
8887,miniLM_labels,low_confidence,semantic_contradiction,Utterance contains cues that oppose this assigned label.,"Something is just not clicking. i feel like i understood it but when i try to solve, its all wrong. i cant say what is wrong though.","confusion, low_confidence, self_monitoring",High load_risk,SOCRATIC_Q
