row_index,changed_fields,old_student_utterance,new_student_utterance,old_miniLM_labels,new_miniLM_labels,old_hope_signals,new_hope_signals,old_target_policy_action,new_target_policy_action
34,miniLM_labels;hope_signals;target_policy_action,is there like a simpler way to see this? this is too complicated.,is there like a simpler way to see this? this is too complicated.,"confusion, question, simplification_request","curiosity, question, simplification_request",High load_risk,"Active engagement, High ct_score, Moderate ki_score",REPRESENTATION_TRANSLATION,SOCRATIC_Q
35,miniLM_labels;hope_signals;target_policy_action,"the SOH CAH TOA thing, can you show it on a real-life ramp or something instead of just a triangle on paper? how does it relate to like height of a building?","the SOH CAH TOA thing, can you show it on a real-life ramp or something instead of just a triangle on paper? how does it relate to like height of a building?","question, representation_shift, physical, curiosity","curiosity, diagrammatic, physical, question, representation_shift, request_representation, transfer_attempt",High ki_score opportunity,"Active engagement, High ct_score, High ki_score, High ki_score opportunity",VISUAL_ANALOGY,REPRESENTATION_TRANSLATION
36,miniLM_labels;hope_signals,"the combined solids like a cone on a cylinder, how do we know which areas to add for TSA? like show a 3d model where we can turn it around.","the combined solids like a cone on a cylinder, how do we know which areas to add for TSA? like show a 3d model where we can turn it around.","confusion, question, diagrammatic, request_representation","curiosity, diagrammatic, physical, question, representation_shift, request_representation",High load_risk,"Active engagement, High ct_score, High ki_score, High ki_score opportunity",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION
37,student_utterance;miniLM_labels;hope_signals;target_policy_action,"i just dont understand what this means, can you give me another way to look at it?","i just don't understand what this means, can you give me another way to look at it?","confusion, question, simplification_request","curiosity, question",High load_risk,"Active engagement, High ct_score, Moderate ki_score",REPRESENTATION_TRANSLATION,SOCRATIC_Q
38,miniLM_labels;hope_signals;target_policy_action,"aaa similarity, can you show two triangles where like they have same angles but diff sizes? like one small, one big, so i can see it.","aaa similarity, can you show two triangles where like they have same angles but diff sizes? like one small, one big, so i can see it.","question, diagrammatic, representation_shift","curiosity, diagrammatic, question, representation_shift, request_representation, self_monitoring",Moderate load_risk,"Active engagement, High ct_score, Moderate ki_score, High ki_score opportunity",VISUAL_ANALOGY,REPRESENTATION_TRANSLATION
39,miniLM_labels;hope_signals,"impossible and sure events in probability, can we have like an interactive simulation for that? like rolling a dice where we can actually see no 7 comes up.","impossible and sure events in probability, can we have like an interactive simulation for that? like rolling a dice where we can actually see no 7 comes up.","question, representation_shift, curiosity","algebraic, curiosity, physical, question, representation_shift, request_representation",High ki_score opportunity,"Active engagement, High ct_score, High ki_score, High ki_score opportunity",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION
40,student_utterance;miniLM_labels;hope_signals,"this sin^2 + cos^2 = 1, how it is possible? can u show me on a right angle triangle, like actually proving it visually?","this sin^2 + cos^2 = 1, how it is possible? can you show me on a right angle triangle, like actually proving it visually?","confusion, question, representation_shift, diagrammatic","algebraic, answer_attempt, curiosity, diagrammatic, question, representation_shift, request_representation","High load_risk,High ki_score opportunity","Active engagement, High ct_score, Moderate ki_score, High ki_score opportunity",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION
41,student_utterance;miniLM_labels;hope_signals;target_policy_action,"proof by contradiction is like super confusing, why do we assume something is true then prove its false? can u show steps with some numbers, not just theory?","proof by contradiction is like super confusing, why do we assume something is true then prove it's false? can you show steps with some numbers, not just theory?","confusion, question, representation_shift, algebraic","abstraction_attempt, algebraic, confusion, curiosity, procedural_focus, question","High load_risk,Moderate load_risk","Moderate load_risk, Active engagement, High ct_score, High ki_score",REPRESENTATION_TRANSLATION,REVIEW
42,student_utterance;miniLM_labels;hope_signals;target_policy_action,"i dont get this at all, can u make it simpler, like less words more pictures please?","i don't get this at all, can you make it simpler, like less words more pictures please?","confusion, request_representation, graphical, question, simplification_request","confusion, curiosity, environmental_feedback, question, simplification_request","High load_risk,Low productive_struggle","Moderate load_risk, Active engagement, High ct_score, Moderate ki_score",REPRESENTATION_TRANSLATION,REVIEW
43,student_utterance;miniLM_labels;hope_signals;target_policy_action,"that 'u' shape graph, parabola, why is it like that? like if i have the equation, how do i know it will make that shape?","that 'you' shape graph, parabola, why is it like that? like if i have the equation, how do i know it will make that shape?","question, confusion, graphical, representation_shift","algebraic, curiosity, diagrammatic, graphical, high_confidence, question, representation_shift, request_representation","Moderate load_risk,High ki_score opportunity","High confidence, Mastery threshold met, Active engagement, High ct_score",VISUAL_ANALOGY,REPRESENTATION_TRANSLATION
44,miniLM_labels;hope_signals;target_policy_action,can you show it in a different way? my brain is not understanding it this way only,can you show it in a different way? my brain is not understanding it this way only,"confusion, request_representation, low_confidence, question, simplification_request","cognitive_overload, confusion, curiosity, question, self_monitoring","High load_risk,Moderate load_risk","High load_risk, Cognitive overload, Active engagement, High ct_score",REPRESENTATION_TRANSLATION,EXPLAIN
45,miniLM_labels;hope_signals,"mean of grouped data calculation is so long with assumed mean, can you show it like a spreadsheet or something? faster na?","mean of grouped data calculation is so long with assumed mean, can you show it like a spreadsheet or something? faster na?","procedural_focus, shortcut_seeking, representation_shift, algebraic, question","algebraic, curiosity, environmental_feedback, procedural_focus, question, shortcut_seeking, tabular","Partial mastery,High productive_struggle","Surface engagement, Low productive_struggle, Active engagement, High ct_score",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION
46,student_utterance;miniLM_labels;hope_signals,"all these formulas, i am confused, can u just explain what it is for first, like verbally?","all these formulas, i am confused, can you just explain what it is for first, like verbally?","confusion, verbal_analogy, question","confusion, curiosity, question","High load_risk,Low productive_struggle","Moderate load_risk, Active engagement, High ct_score, Moderate ki_score",EXPLAIN,EXPLAIN
47,miniLM_labels;hope_signals,that BPT theorem diagram is fine but like how do i apply it in a sum? can you show an example with numbers on the diagram itself?,that BPT theorem diagram is fine but like how do i apply it in a sum? can you show an example with numbers on the diagram itself?,"question, representation_shift, diagrammatic, procedural_focus, example_request","algebraic, curiosity, diagrammatic, example_request, question, representation_shift, request_representation, transfer_attempt","Moderate load_risk,Partial mastery","Active engagement, High ct_score, High ki_score, High ki_score opportunity",WORKED_EXAMPLE,WORKED_EXAMPLE
48,miniLM_labels;hope_signals;target_policy_action,"i am not understanding this, can we switch to another topic? or simplify this?","i am not understanding this, can we switch to another topic? or simplify this?","confusion, disengagement, topic_shift, question, simplification_request","confusion, curiosity, question, simplification_request","High load_risk,Low productive_struggle","Moderate load_risk, Active engagement, High ct_score, Moderate ki_score",REPRESENTATION_TRANSLATION,EXPLAIN
49,miniLM_labels;hope_signals,"when we combine shapes like a cone on cylinder, how to know which surface areas to add or subtract? like can you show it with colours or a 3d model?","when we combine shapes like a cone on cylinder, how to know which surface areas to add or subtract? like can you show it with colours or a 3d model?","confusion, diagrammatic, request_representation, physical, question","curiosity, diagrammatic, physical, procedural_focus, question, representation_shift, request_representation","High load_risk,High ki_score opportunity","Active engagement, High ct_score, High ki_score, High ki_score opportunity",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION
50,miniLM_labels;hope_signals,"Why is sin square A plus cos square A always 1? Like, can you show me a triangle moving, and see how the sides change but the identity holds?","Why is sin square A plus cos square A always 1? Like, can you show me a triangle moving, and see how the sides change but the identity holds?","confusion, question, graphical, representation_shift","algebraic, curiosity, diagrammatic, question, representation_shift, request_representation, transfer_attempt","High ki_score opportunity,High productive_struggle","Active engagement, High ct_score, High ki_score, High ki_score opportunity",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION
51,miniLM_labels;hope_signals;target_policy_action,"this is too hard to visualize, can you show it like, as a story?","this is too hard to visualize, can you show it like, as a story?","confusion, request_representation, verbal_analogy, question","curiosity, frustration, question, representation_shift, request_representation, verbal_analogy",High load_risk,"Moderate load_risk, Active engagement, High ct_score, High ki_score",VISUAL_ANALOGY,VERBAL_ANALOGY
52,miniLM_labels;hope_signals;target_policy_action,"how does AAA similarity actually work? can you show me two triangles that are like, clearly similar, but one is zoomed in?","how does AAA similarity actually work? can you show me two triangles that are like, clearly similar, but one is zoomed in?","confusion, question, diagrammatic, example_request","curiosity, diagrammatic, high_confidence, question, representation_shift, request_representation",Partial mastery,"High confidence, Mastery threshold met, Active engagement, High ct_score",VISUAL_ANALOGY,REPRESENTATION_TRANSLATION
53,miniLM_labels;hope_signals;target_policy_action,"too much explanation, my head spinning. can we just do an example?","too much explanation, my head spinning. can we just do an example?","cognitive_overload, example_request, question","cognitive_overload, curiosity, question",High load_risk,"Moderate load_risk, Cognitive overload, Active engagement, High ct_score",WORKED_EXAMPLE,EXPLAIN
54,miniLM_labels;hope_signals,"calculating mean for grouped data is so many steps. is there a way to see it as a table, like all the columns, to make it clear?","calculating mean for grouped data is so many steps. is there a way to see it as a table, like all the columns, to make it clear?","procedural_focus, request_representation, tabular, question","algebraic, curiosity, high_confidence, procedural_focus, question, representation_shift, request_representation, tabular","Moderate load_risk,High productive_struggle","High confidence, Mastery threshold met, Active engagement, High ct_score",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION
55,miniLM_labels;hope_signals,"all these formulas, it's just numbers. can you tell me why we need to learn this in real life?","all these formulas, it's just numbers. can you tell me why we need to learn this in real life?","curiosity, question, disengagement","curiosity, physical, question, transfer_attempt",Low productive_struggle,"Active engagement, High ct_score, High ki_score, High ki_score opportunity",EXPLAIN,EXPLAIN
56,miniLM_labels;hope_signals,the quadratic formula is like so long and confusing. can you put it into a step-by-step thing for an actual sum?,the quadratic formula is like so long and confusing. can you put it into a step-by-step thing for an actual sum?,"confusion, procedural_focus, example_request, question","algebraic, confusion, curiosity, example_request, procedural_focus, question",High load_risk,"Moderate load_risk, Active engagement, High ct_score, Moderate ki_score",WORKED_EXAMPLE,WORKED_EXAMPLE
57,miniLM_labels;hope_signals,can you explain this in simpler words please? my brain is not clicking with these big terms.,can you explain this in simpler words please? my brain is not clicking with these big terms.,"cognitive_overload, question, simplification_request","cognitive_overload, curiosity, environmental_feedback, question, self_monitoring, simplification_request",High load_risk,"Moderate load_risk, Cognitive overload, Active engagement, High ct_score",EXPLAIN,EXPLAIN
58,student_utterance;miniLM_labels;hope_signals,parabola is a U-shape right? how can we see that from the equation? like show me how y=x^2 makes that curve.,parabola is a you-shape right? how can we see that from the equation? like show me how y=x^2 makes that curve.,"confusion, question, graphical, representation_shift","algebraic, answer_attempt, curiosity, diagrammatic, graphical, question, representation_shift, request_representation",High ki_score opportunity,"Active engagement, High ct_score, Moderate ki_score, High ki_score opportunity",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION
59,miniLM_labels;hope_signals,"tangent is always 90 degrees to radius at point of contact. can you like show it moving, so i can see it's always perpendicular?","tangent is always 90 degrees to radius at point of contact. can you like show it moving, so i can see it's always perpendicular?","confusion, diagrammatic, request_representation, question","curiosity, diagrammatic, question, representation_shift, request_representation, self_monitoring",High ki_score opportunity,"Active engagement, High ct_score, Moderate ki_score, High ki_score opportunity",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION
60,miniLM_labels;hope_signals,"this theory part is just words only, can you show me a small video or like a simulation of it?","this theory part is just words only, can you show me a small video or like a simulation of it?","confusion, request_representation, graphical, question","abstraction_attempt, curiosity, environmental_feedback, question, representation_shift, request_representation",High load_risk,"Active engagement, High ct_score, High ki_score, High ki_score opportunity",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION
61,miniLM_labels;hope_signals;target_policy_action,"bpt theorem, if i draw it out it looks simple but what if the lines are like really tilted? can you show an example with a weird triangle?","bpt theorem, if i draw it out it looks simple but what if the lines are like really tilted? can you show an example with a weird triangle?","confusion, question, diagrammatic, representation_shift, simplification_request, example_request","algebraic, curiosity, diagrammatic, question, representation_shift, request_representation, simplification_request",Moderate load_risk,"Active engagement, High ct_score, Moderate ki_score, High ki_score opportunity",VISUAL_ANALOGY,REPRESENTATION_TRANSLATION
62,student_utterance;miniLM_labels;hope_signals,"i dont get it at all, can you explain this like im 5 years old? very simple language pls","i don't get it at all, can you explain this like I'm 5 years old? very simple language please","confusion, low_confidence, question, simplification_request","confusion, curiosity, question, simplification_request",High load_risk,"Moderate load_risk, Active engagement, High ct_score, Moderate ki_score",EXPLAIN,EXPLAIN
63,miniLM_labels;hope_signals;target_policy_action,"sine is opposite by hypotenuse, ok. but what if the triangle is like upside down or very thin? how do i know which is opposite then?","sine is opposite by hypotenuse, ok. but what if the triangle is like upside down or very thin? how do i know which is opposite then?","confusion, question, diagrammatic, representation_shift","curiosity, diagrammatic, high_confidence, question","Moderate load_risk, High ki_score opportunity","High confidence, Mastery threshold met, Active engagement, High ct_score",REPRESENTATION_TRANSLATION,EXPLAIN
64,miniLM_labels;hope_signals;target_policy_action,"parallel lines, intersecting lines, coincident lines. can you show all three types on the same graph, like animated how they change?","parallel lines, intersecting lines, coincident lines. can you show all three types on the same graph, like animated how they change?","confusion, graphical, request_representation, curiosity, question","curiosity, diagrammatic, graphical, question, representation_shift, request_representation",High ki_score opportunity,"Active engagement, High ct_score, Moderate ki_score, High ki_score opportunity",VISUAL_ANALOGY,EXPLAIN
65,miniLM_labels;hope_signals,"all this explanation is like too much, just show me a sum with numbers, then i will understand","all this explanation is like too much, just show me a sum with numbers, then i will understand","confusion, example_request, procedural_focus","cognitive_overload, curiosity, example_request, representation_shift, request_representation","Low productive_struggle, High load_risk","Moderate load_risk, Cognitive overload, Active engagement, High ct_score",WORKED_EXAMPLE,WORKED_EXAMPLE
66,miniLM_labels;hope_signals,"the surface area of combined solids, like cone on a cylinder, how do we know what parts to count? like can we have a diagram that highlights only the surface area?","the surface area of combined solids, like cone on a cylinder, how do we know what parts to count? like can we have a diagram that highlights only the surface area?","confusion, diagrammatic, question, request_representation","algebraic, curiosity, diagrammatic, question, representation_shift, request_representation","High load_risk, Partial mastery","Active engagement, High ct_score, Moderate ki_score, High ki_score opportunity",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION
67,miniLM_labels;hope_signals,"quadratic formula, that big one, minus b plus minus root b squared minus 4ac by 2a, can we see an example where each part is solved step by step? like a flow chart","quadratic formula, that big one, minus b plus minus root b squared minus 4ac by 2a, can we see an example where each part is solved step by step? like a flow chart","confusion, algebraic, procedural_focus, request_representation, question, example_request","algebraic, curiosity, example_request, graphical, procedural_focus, question, representation_shift, request_representation, transfer_attempt",Moderate load_risk,"Active engagement, High ct_score, High ki_score, High ki_score opportunity",WORKED_EXAMPLE,WORKED_EXAMPLE
68,miniLM_labels;hope_signals,"this is not making sense, can you explain with an audio explanation instead of just reading text?","this is not making sense, can you explain with an audio explanation instead of just reading text?","confusion, cognitive_overload, question, request_representation","confusion, curiosity, environmental_feedback, question",High load_risk,"Moderate load_risk, Active engagement, High ct_score, Moderate ki_score",EXPLAIN,EXPLAIN
