student_utterance,concept_id,miniLM_labels,hope_signals,target_policy_action,category
"bpt theorem n all, can you just give me the question and i will solve it, no need for proof now, its exam time na",jemh106__basic_proportionality_theorem,"shortcut_seeking,procedural_focus,topic_shift","Surface engagement,High load_risk",METACOGNITIVE_REFLECT,3
"consistent inconsistent dependent, i always get them mixed up, is there a simple trick to remember all these types of lines?",jemh103__system_classification,"confusion,request_hint,low_confidence","Moderate load_risk,Moderate ct_score",REPRESENTATION_TRANSLATION,3
"ok i get it, can we do problems now?",INHERIT_CURRENT_CONCEPT,"ready_for_next,topic_shift","Mastery threshold met,High confidence",TRANSFER_PROBLEM,4
"i dont remember how to find LCM of large numbers only, how will i do HCF part?",jemh101__prime_factorization_hcf_lcm,"confusion,prerequisite_weakness,low_confidence","Prerequisite weakness,High load_risk",BRIDGE_RECAP,4
"i know how to find zeroes of a quadratic, its easy, can we go to sum and product relation?",jemh102__quadratic_coefficients,"ready_for_next,topic_shift,high_confidence","High confidence,Mastery threshold met",QUIZ,4
"this is too fast, i need to think about the last step please",INHERIT_CURRENT_CONCEPT,"cognitive_overload,self_monitoring","High load_risk,Low productive_struggle",ENCOURAGE,4
"sir, before coordinate geometry, i forgot that number line plotting part, should i revise that first?",jemh107__cartesian_coordinate_system,"self_monitoring,prerequisite_awareness,question",Prerequisite awareness,REVIEW,4
"i think i got the concept of AP sum now, can we try some difficult sums?",jemh105__sum_n_terms_formula,"ready_for_next,curiosity","Mastery threshold met,High productive_struggle",TRANSFER_PROBLEM,4
"what is a right angle triangle only? i keep forgetting, how to do trig then?",jemh108__intro_trigonometry,"confusion,prerequisite_weakness,low_confidence","Prerequisite weakness,High load_risk",BRIDGE_RECAP,4
"can we please move on from this topic, i already know this from 9th",INHERIT_CURRENT_CONCEPT,"topic_shift,ready_for_next,high_confidence","Mastery threshold met,High confidence",QUIZ,4
"i understand what is a secant and tangent, but what about the theorems related to them?",jemh110__tangent_radius_perpendicularity,"ready_for_next,topic_shift,curiosity","High confidence,Partial mastery",TRANSFER_PROBLEM,4
"what is a class interval again? i think i forgot from earlier class, now for grouped frequency i am stuck",jemh113__grouped_frequency_distribution,"confusion,prerequisite_weakness,self_monitoring","Prerequisite weakness,High load_risk",BRIDGE_RECAP,4
"wait, for BPT, is it AD/DB = AE/EC or AD/AB = AE/AC? i always get confused here",jemh106__basic_proportionality_theorem,"confusion,low_confidence,self_monitoring","Low confidence,Active misconception check",REVIEW,4
"i dont think i can ever pass math, this is too much for me",INHERIT_CURRENT_CONCEPT,"low_confidence,anxiety,frustration","High load_risk,Low confidence",ENCOURAGE,5
"i always mess up the signs in quadratic formula, will i ever get it right for the exam?",jemh104__quadratic_formula,"low_confidence,anxiety,confusion,recurring_error","Low confidence,High load_risk,Recurring error",WORKED_EXAMPLE,5
"my brain is just blank right now, i cant focus on anything",INHERIT_CURRENT_CONCEPT,"cognitive_overload,disengagement,low_confidence","High load_risk,Low confidence",ENCOURAGE,5
"all these trig identities are confusing me, how will i remember which one to use where? i'll fail for sure",jemh108__pythagorean_trig_identities,"confusion,low_confidence,anxiety,cognitive_overload","High load_risk,Low confidence",WORKED_EXAMPLE,5
"i feel so dumb, i thought i knew this but now i dont",INHERIT_CURRENT_CONCEPT,"low_confidence,self_monitoring,anxiety","Low confidence,High load_risk",METACOGNITIVE_REFLECT,5
"BPT proof always messes me up, i never draw the parallel lines correctly, exam main kya karunga",jemh106__basic_proportionality_theorem,"confusion,low_confidence,anxiety,procedural_focus","Low confidence,High load_risk,Recurring error",VISUAL_ANALOGY,5
"i cant even add numbers properly in this mean question, how will i score marks in stats?",jemh113__mean_grouped_data,"low_confidence,frustration,anxiety,procedural_focus","Low confidence,High load_risk",ISOMORPHIC_PRACTICE,5
"i am just guessing everything, i dont know anything for real",INHERIT_CURRENT_CONCEPT,"low_confidence,disengagement,anxiety","Low confidence,High load_risk",ENCOURAGE,5
"proving root 2 irrational is impossible, i always forget one step or the other, it's too much logic for me",jemh101__proving_irrationality_root_n,"low_confidence,frustration,cognitive_overload,procedural_focus","Low confidence,High load_risk,Recurring error",WORKED_EXAMPLE,5
"consistent, inconsistent, dependent, independent... my head is spinning with these words, i'm definitely getting this wrong on test",jemh103__system_classification,"confusion,low_confidence,cognitive_overload,anxiety","High load_risk,Low confidence,Recurring misconception",REPRESENTATION_TRANSLATION,5
"i can draw the circle and tangent but explaining why it's 90 degrees always confuses me, it seems too simple but I never get the proof right",jemh110__tangent_radius_perpendicularity,"low_confidence,confusion,procedural_focus,anxiety","Low confidence,High load_risk,Recurring error",VISUAL_ANALOGY,5
"this ques is too long for boards, just tell the final answer i dont have time for all these steps",INHERIT_CURRENT_CONCEPT,"procedural_focus,shortcut_seeking,anxiety","Low productive_struggle,Moderate load_risk",SOCRATIC_Q,6
"Quadratic formula is like a magic key, just plug in values right? no need to understand derivation for boards na?",jemh104__quadratic_formula,"procedural_focus,question,anxiety","Surface engagement,Low ct_score",SOCRATIC_Q,6
"the nth term of AP, just give me the formula, i know how to put values, it always works",jemh105__nth_term_formula,"procedural_focus,ready_for_next","Low productive_struggle,Surface engagement",WORKED_EXAMPLE,6
is this topic important for board exams? or just extra knowledge types?,INHERIT_CURRENT_CONCEPT,"anxiety,question,topic_shift","Low productive_struggle,Moderate load_risk",ENCOURAGE,6
"sin square plus cos square is 1... i just rote learn this na for exams, no need to know why?",jemh108__pythagorean_trig_identities,"procedural_focus,question,anxiety","Low ki_score,Surface engagement",SOCRATIC_Q,6
"can u just show me the steps for this type of problem, i'll just copy it for exam",INHERIT_CURRENT_CONCEPT,"hint_dependency,procedural_focus,shortcut_seeking","Low productive_struggle,Moderate load_risk",WORKED_EXAMPLE,6
"the mean of grouped data formula, is direct method good enough for all questions or do we always have to do assumed mean?",jemh113__mean_grouped_data,"procedural_focus,question,anxiety","Surface engagement,Low ct_score",EXPLAIN,6
"BPT proof always messes me up, can you just tell me the main points i should write to get marks, i forget the proper construction",jemh106__basic_proportionality_theorem,"procedural_focus,shortcut_seeking,anxiety","Low productive_struggle,Moderate load_risk",SOCRATIC_Q,6
"what part of this explanation will actually get me marks in the exam, the steps or the understanding?",INHERIT_CURRENT_CONCEPT,"anxiety,question,procedural_focus","Low productive_struggle,Low ki_score",METACOGNITIVE_REFLECT,6
"i hate proofs by contradiction, can't we just solve it directly? this indirect method is too much for me for boards",jemh101__proof_by_contradiction_method,"procedural_focus,frustration,anxiety","High load_risk,Low productive_struggle",EXPLAIN,6
"ok done with this, what is the next step to do now? just tell me",INHERIT_CURRENT_CONCEPT,"ready_for_next,hint_dependency,procedural_focus","Surface engagement,Low productive_struggle",TRANSFER_PROBLEM,6
"My tutor says sum of zeroes is always minus b/a, but in school, mam wrote b/a for one question, which one is correct?",jemh102__quadratic_coefficients,"conflict, confusion, skepticism",Active misconception check,MISCONCEPTION_PROBE,7
Is this chapter even important for practical life? My dad says all this is useless math.,INHERIT_CURRENT_CONCEPT,"skepticism, disengagement, question",Moderate ct_score,ENCOURAGE,7
"Sir, in my tuition they taught a different way to prove root 2 irrational, is your method also correct or theirs?",jemh101__proof_by_contradiction_method,"conflict, skepticism, question",High ki_score opportunity,EXPLAIN,7
"The answer in the textbook for this problem is totally different, did I do something wrong or is the book having mistake?",INHERIT_CURRENT_CONCEPT,"skepticism, confusion, self_correction",Moderate load_risk,WORKED_EXAMPLE,7
"sin square theta plus cos square theta is 1 always right? but my friend says sometimes it's wrong, how can that be?",jemh108__pythagorean_trig_identities,"conflict, skepticism, misconception_clue",Active misconception,SOCRATIC_COUNTEREXAMPLE,7
"Teacher said this concept is very hard for 10th standard but I found it easy, am I missing something important here?",INHERIT_CURRENT_CONCEPT,"skepticism, low_confidence, self_monitoring",High confidence,MISCONCEPTION_PROBE,7
"How can a tangent be perpendicular to radius always? My sir said it's just a convention, not a real proof for class 10, is that true?",jemh110__tangent_radius_perpendicularity,"skepticism, confusion, conflict",Active misconception check,REPRESENTATION_TRANSLATION,7
"Why are we doing this, my cousin who just passed 10th said this topic never comes in boards, he didn't study this.",INHERIT_CURRENT_CONCEPT,"skepticism, disengagement, question",Low productive_struggle,ENCOURAGE,7
"Teacher always tells to check discriminant first, but my coaching sir says just use formula directly, same thing only. Is it really necessary to check first?",jemh104__discriminant_nature_of_roots,"conflict, skepticism, procedural_focus",High ki_score opportunity,EXPLAIN,7
"Consistent, inconsistent... my tuition teacher uses graphical method only, but in school they want us to use coefficient ratios. Both give same answer right?",jemh103__system_classification,"conflict, skepticism, procedural_focus",Moderate ct_score,EXPLAIN,7
"BPT is only for parallel lines, na? My friend says it can be used for any triangle but I don't think so, he must be wrong.",jemh106__basic_proportionality_theorem,"skepticism, misconception_clue, question",Active misconception,SOCRATIC_Q,7
"this whole thing is just not clicking today, my brain feels foggy",INHERIT_CURRENT_CONCEPT,"confusion, low_confidence, cognitive_overload",High load_risk,ENCOURAGE,8
"i don't know what is happening, everything looks wrong here",INHERIT_CURRENT_CONCEPT,"confusion, low_confidence, frustration",High load_risk,MISCONCEPTION_PROBE,8
something is off with my calculation but i cant find it,INHERIT_CURRENT_CONCEPT,"confusion, self_correction, low_confidence",Moderate load_risk,SOCRATIC_Q,8
"my steps are all mixed up, i dont know which formula to use",INHERIT_CURRENT_CONCEPT,"confusion, cognitive_overload, low_confidence",High load_risk,BRIDGE_RECAP,8
"it just feels wrong, i cant trust my own answer",INHERIT_CURRENT_CONCEPT,"low_confidence, skepticism, frustration","Moderate ct_score, Low confidence",SOCRATIC_Q,8
"that U shape graph is always confusing, i can never tell if it opens up or down from the equation, something is weird with it",jemh102__quadratic_zero_geometry,"confusion, graphical, low_confidence",High load_risk,VISUAL_ANALOGY,8
"all these sin cos tan things, the ratios get totally jumbled in my head, i cant figure out which side is which for the angle, very confusing",jemh108__fundamental_trig_ratios,"confusion, low_confidence, procedural_focus","Moderate load_risk, Active misconception",WORKED_EXAMPLE,8
"i started the proof okay, but then midway it just went all hazy, i lost the track of contradiction, don't know what to do now",jemh101__proof_by_contradiction_method,"cognitive_overload, confusion, low_confidence",High load_risk,MISCONCEPTION_PROBE,8
"consistent, inconsistent, dependent... these words confuse me so much, i don't know how to relate them to the lines in the graph",jemh103__system_classification,"confusion, cognitive_overload, low_confidence, diagrammatic","High load_risk, Recurring error",REPRESENTATION_TRANSLATION,8
"the formula for mean in grouped data looks so complex, i don't understand why all these xis and fis are there, seems unnecessary",jemh113__mean_grouped_data,"confusion, cognitive_overload, skepticism","Moderate load_risk, Moderate ct_score",EXPLAIN,8
"BPT is not making sense, the lines look parallel but then the ratios... something is wrong with my understanding of it",jemh106__basic_proportionality_theorem,"confusion, skepticism, diagrammatic, low_confidence","Active misconception, High load_risk",SOCRATIC_Q,8
Can we make this cylinder cone shape with paper or clay? I can't imagine how it looks from inside.,jemh112__surface_area_combined_solids,"request_representation,physical,graphical,confusion","High ki_score,Moderate load_risk",REPRESENTATION_TRANSLATION,9
"I can't see the U shape, can we like bend a wire to form the parabola? How does it make sense?",jemh102__quadratic_zero_geometry,"request_representation,physical,graphical,confusion","High ki_score,Low productive_struggle",REPRESENTATION_TRANSLATION,9
How is the area of sector found? Can we cut a pizza or something to understand it better?,jemh111__area_of_sector,"request_representation,physical,curiosity",High ki_score,REPRESENTATION_TRANSLATION,9
"Proof by contradiction is so confusing. Can we use physical objects to like show 'if this is true, then this can't be true' or something?",jemh101__proof_by_contradiction_method,"request_representation,physical,confusion,transfer_attempt","Moderate load_risk,High ki_score",REPRESENTATION_TRANSLATION,9
"Similar figures means same shape but different size, right? Can we take like two photos, one small and one big, and see if they are similar?",jemh106__similar_figures,"request_representation,physical,curiosity,transfer_attempt","High ki_score,High ct_score",ANALOGOUS_EXAMPLE,9
"Plotting lines on graph paper with a ruler and pencil, then seeing where they cross, makes more sense. Can we do that for this sum?",jemh103__graphical_method_solving,"request_representation,physical,graphical,procedural_focus",High ki_score,WORKED_EXAMPLE,9
What is the probability of getting heads? Can I flip a coin or roll a dice to see how many times heads comes? That will make it clear.,jemh114__theoretical_probability_formula,"request_representation,physical,environmental_feedback,curiosity","High ki_score,Low productive_struggle",REPRESENTATION_TRANSLATION,9
This problem seems too theoretical. Can we build a model of it with blocks or something?,INHERIT_CURRENT_CONCEPT,"request_representation,physical,abstraction_attempt","High ki_score,Low productive_struggle",REPRESENTATION_TRANSLATION,9
I need to touch and feel it to understand. Is there some way to make this concept physical?,INHERIT_CURRENT_CONCEPT,"request_representation,physical,curiosity",High ki_score,REPRESENTATION_TRANSLATION,9
Can we use actual materials to like show what this means? I learn better by doing.,INHERIT_CURRENT_CONCEPT,"request_representation,physical,self_monitoring",High ki_score,REPRESENTATION_TRANSLATION,9
"This is just too many numbers and formulas, can we see it happening in real life, like what would it look like if I did it myself?",INHERIT_CURRENT_CONCEPT,"request_representation,physical,cognitive_overload,environmental_feedback","High load_risk,Low productive_struggle",REPRESENTATION_TRANSLATION,9
