student_utterance,concept_id,miniLM_labels,hope_signals,target_policy_action,category
"when we combine solids, the surface area calculation is confusing, which parts to add which to subtract, like show it with colours na",jemh112__surface_area_combined_solids,"confusion,diagrammatic,request_representation","High load_risk,Partial mastery",VISUAL_ANALOGY,1
the formula an = a + (n-1)d is fine but how to know what is 'a' and 'd' from a story problem? give me an example with like ages,jemh105__nth_term_formula,"confusion,example_request,transfer_attempt","Moderate load_risk,Low productive_struggle",WORKED_EXAMPLE,1
"sin square theta plus cos square theta equals 1, but why? can u draw the triangle and show how it comes from pythagoras theorem?",jemh108__pythagorean_trig_identities,"curiosity,diagrammatic,abstraction_attempt","High productive_struggle,High ki_score",VISUAL_ANALOGY,1
"this diagram is not clear to me, can you zoom in or show it from another angle?",INHERIT_CURRENT_CONCEPT,"confusion, question, diagrammatic",High load_risk,REPRESENTATION_TRANSLATION,1
"the proof for root 2 being irrational, it's so abstract, can we see it with numbers changing or like a step by step animation?",jemh101__proving_irrationality_root_n,"confusion, question, representation_shift","Moderate load_risk, High ki_score opportunity",REPRESENTATION_TRANSLATION,1
"too many words here, can you summarise it in like points or a flowchart?",INHERIT_CURRENT_CONCEPT,"confusion, request_representation",High load_risk,REPRESENTATION_TRANSLATION,1
"when I plot the lines for linear equations, sometimes they don't cross nicely, like they intersect between grid lines, how to read that from the graph only?",jemh103__graphical_method_solving,"confusion, question, graphical","Moderate load_risk, Partial mastery",EXPLAIN,1
is there like a simpler way to see this? this is too complicated.,INHERIT_CURRENT_CONCEPT,"confusion, request_hint",High load_risk,REPRESENTATION_TRANSLATION,1
"the SOH CAH TOA thing, can you show it on a real-life ramp or something instead of just a triangle on paper? how does it relate to like height of a building?",jemh108__fundamental_trig_ratios,"question, representation_shift, physical, curiosity",High ki_score opportunity,VISUAL_ANALOGY,1
"the combined solids like a cone on a cylinder, how do we know which areas to add for TSA? like show a 3d model where we can turn it around.",jemh112__surface_area_combined_solids,"confusion, question, diagrammatic, request_representation",High load_risk,REPRESENTATION_TRANSLATION,1
"i just dont understand what this means, can you give me another way to look at it?",INHERIT_CURRENT_CONCEPT,"confusion, question",High load_risk,REPRESENTATION_TRANSLATION,1
"aaa similarity, can you show two triangles where like they have same angles but diff sizes? like one small, one big, so i can see it.",jemh106__aaa_similarity,"question, diagrammatic, representation_shift",Moderate load_risk,VISUAL_ANALOGY,1
"impossible and sure events in probability, can we have like an interactive simulation for that? like rolling a dice where we can actually see no 7 comes up.",jemh114__probability_range,"question, representation_shift, curiosity",High ki_score opportunity,REPRESENTATION_TRANSLATION,1
"this sin^2 + cos^2 = 1, how it is possible? can u show me on a right angle triangle, like actually proving it visually?",jemh108__pythagorean_trig_identities,"confusion,question,representation_shift,diagrammatic","High load_risk,High ki_score opportunity",REPRESENTATION_TRANSLATION,1
"proof by contradiction is like super confusing, why do we assume something is true then prove its false? can u show steps with some numbers, not just theory?",jemh101__proof_by_contradiction_method,"confusion,question,representation_shift,algebraic","High load_risk,Moderate load_risk",REPRESENTATION_TRANSLATION,1
"i dont get this at all, can u make it simpler, like less words more pictures please?",INHERIT_CURRENT_CONCEPT,"confusion,request_representation,graphical","High load_risk,Low productive_struggle",REPRESENTATION_TRANSLATION,1
"that 'u' shape graph, parabola, why is it like that? like if i have the equation, how do i know it will make that shape?",jemh102__quadratic_zero_geometry,"question,confusion,graphical,representation_shift","Moderate load_risk,High ki_score opportunity",VISUAL_ANALOGY,1
can you show it in a different way? my brain is not understanding it this way only,INHERIT_CURRENT_CONCEPT,"confusion,request_representation,low_confidence","High load_risk,Moderate load_risk",REPRESENTATION_TRANSLATION,1
"mean of grouped data calculation is so long with assumed mean, can you show it like a spreadsheet or something? faster na?",jemh113__mean_grouped_data,"procedural_focus,shortcut_seeking,representation_shift,algebraic","Partial mastery,High productive_struggle",REPRESENTATION_TRANSLATION,1
"all these formulas, i am confused, can u just explain what it is for first, like verbally?",INHERIT_CURRENT_CONCEPT,"confusion,request_hint,verbal_analogy","High load_risk,Low productive_struggle",EXPLAIN,1
that BPT theorem diagram is fine but like how do i apply it in a sum? can you show an example with numbers on the diagram itself?,jemh106__basic_proportionality_theorem,"question,representation_shift,diagrammatic,procedural_focus","Moderate load_risk,Partial mastery",WORKED_EXAMPLE,1
"i am not understanding this, can we switch to another topic? or simplify this?",INHERIT_CURRENT_CONCEPT,"confusion,disengagement,topic_shift,request_hint","High load_risk,Low productive_struggle",REPRESENTATION_TRANSLATION,1
"when we combine shapes like a cone on cylinder, how to know which surface areas to add or subtract? like can you show it with colours or a 3d model?",jemh112__surface_area_combined_solids,"confusion,diagrammatic,request_representation,physical","High load_risk,High ki_score opportunity",REPRESENTATION_TRANSLATION,1
"Why is sin square A plus cos square A always 1? Like, can you show me a triangle moving, and see how the sides change but the identity holds?",jemh108__pythagorean_trig_identities,"confusion,question,graphical,representation_shift","High ki_score opportunity,High productive_struggle",REPRESENTATION_TRANSLATION,1
"this is too hard to visualize, can you show it like, as a story?",INHERIT_CURRENT_CONCEPT,"confusion,request_representation,verbal_analogy",High load_risk,VISUAL_ANALOGY,1
"how does AAA similarity actually work? can you show me two triangles that are like, clearly similar, but one is zoomed in?",jemh106__aaa_similarity,"confusion,question,diagrammatic,example_request",Partial mastery,VISUAL_ANALOGY,1
"too much explanation, my head spinning. can we just do an example?",INHERIT_CURRENT_CONCEPT,"cognitive_overload,example_request",High load_risk,WORKED_EXAMPLE,1
"calculating mean for grouped data is so many steps. is there a way to see it as a table, like all the columns, to make it clear?",jemh113__mean_grouped_data,"procedural_focus,request_representation,tabular","Moderate load_risk,High productive_struggle",REPRESENTATION_TRANSLATION,1
"all these formulas, it's just numbers. can you tell me why we need to learn this in real life?",INHERIT_CURRENT_CONCEPT,"curiosity,question,disengagement",Low productive_struggle,EXPLAIN,1
the quadratic formula is like so long and confusing. can you put it into a step-by-step thing for an actual sum?,jemh104__quadratic_formula,"confusion,procedural_focus,example_request",High load_risk,WORKED_EXAMPLE,1
can you explain this in simpler words please? my brain is not clicking with these big terms.,INHERIT_CURRENT_CONCEPT,"cognitive_overload,request_hint",High load_risk,EXPLAIN,1
parabola is a U-shape right? how can we see that from the equation? like show me how y=x^2 makes that curve.,jemh102__quadratic_zero_geometry,"confusion,question,graphical,representation_shift",High ki_score opportunity,REPRESENTATION_TRANSLATION,1
"tangent is always 90 degrees to radius at point of contact. can you like show it moving, so i can see it's always perpendicular?",jemh110__tangent_radius_perpendicularity,"confusion,diagrammatic,request_representation",High ki_score opportunity,REPRESENTATION_TRANSLATION,1
"this theory part is just words only, can you show me a small video or like a simulation of it?",INHERIT_CURRENT_CONCEPT,"confusion, request_representation, graphical",High load_risk,REPRESENTATION_TRANSLATION,1
"bpt theorem, if i draw it out it looks simple but what if the lines are like really tilted? can you show an example with a weird triangle?",jemh106__basic_proportionality_theorem,"confusion, question, diagrammatic, representation_shift",Moderate load_risk,VISUAL_ANALOGY,1
"i dont get it at all, can you explain this like im 5 years old? very simple language pls",INHERIT_CURRENT_CONCEPT,"confusion, request_hint, low_confidence",High load_risk,EXPLAIN,1
"sine is opposite by hypotenuse, ok. but what if the triangle is like upside down or very thin? how do i know which is opposite then?",jemh108__fundamental_trig_ratios,"confusion, question, diagrammatic, representation_shift","Moderate load_risk, High ki_score opportunity",REPRESENTATION_TRANSLATION,1
"parallel lines, intersecting lines, coincident lines. can you show all three types on the same graph, like animated how they change?",jemh103__system_classification,"confusion, graphical, request_representation, curiosity",High ki_score opportunity,VISUAL_ANALOGY,1
"all this explanation is like too much, just show me a sum with numbers, then i will understand",INHERIT_CURRENT_CONCEPT,"confusion, example_request, procedural_focus","Low productive_struggle, High load_risk",WORKED_EXAMPLE,1
"the surface area of combined solids, like cone on a cylinder, how do we know what parts to count? like can we have a diagram that highlights only the surface area?",jemh112__surface_area_combined_solids,"confusion, diagrammatic, question, request_representation","High load_risk, Partial mastery",REPRESENTATION_TRANSLATION,1
"quadratic formula, that big one, minus b plus minus root b squared minus 4ac by 2a, can we see an example where each part is solved step by step? like a flow chart",jemh104__quadratic_formula,"confusion, algebraic, procedural_focus, request_representation",Moderate load_risk,WORKED_EXAMPLE,1
"this is not making sense, can you explain with an audio explanation instead of just reading text?",INHERIT_CURRENT_CONCEPT,"confusion, request_hint, cognitive_overload",High load_risk,EXPLAIN,1
"proving root 2 is irrational, the steps confuse me. can you show it like a story or a comic strip, like what happens at each step?",jemh101__proving_irrationality_root_n,"confusion, request_representation, verbal_analogy","High load_risk, High productive_struggle",REPRESENTATION_TRANSLATION,1
"this sin cos tan like what is it showing? can you explain it with like a real-world ramp or something, not just a triangle drawing?",jemh108__fundamental_trig_ratios,"confusion, question, representation_shift, graphical","High load_risk, High ki_score opportunity",VISUAL_ANALOGY,1
"i am not understanding this at all, can you show me some other way?",INHERIT_CURRENT_CONCEPT,"confusion, representation_shift, low_confidence",High load_risk,REPRESENTATION_TRANSLATION,1
"that U shape graph, parabola, why is it curved like that? can you show how it comes from the equation values?",jemh102__quadratic_zero_geometry,"confusion, question, graphical, representation_shift","Moderate load_risk, High ki_score opportunity",REPRESENTATION_TRANSLATION,1
"too many big words, can you tell me this in simple words pls?",INHERIT_CURRENT_CONCEPT,"confusion, request_hint, cognitive_overload",High load_risk,EXPLAIN,1
"when we join shapes like a cylinder and a cone, which surfaces count for total area? can you highlight them on a diagram?",jemh112__surface_area_combined_solids,"confusion, question, diagrammatic, representation_shift","Moderate load_risk, Partial mastery",REPRESENTATION_TRANSLATION,1
"the contradiction proof method is confusing, why do we assume opposite? can you show it step by step for root 2 as example?",jemh101__proof_by_contradiction_method,"confusion, question, procedural_focus, algebraic",High load_risk,EXPLAIN,1
"this is hard to imagine, can i see a picture or a moving thing for this?",INHERIT_CURRENT_CONCEPT,"confusion, request_representation, graphical","High load_risk, High ki_score opportunity",REPRESENTATION_TRANSLATION,1
BPT diagram is simple but how do I use it in problems where the triangle is drawn weirdly or has extra lines?,jemh106__basic_proportionality_theorem,"confusion, question, diagrammatic, transfer_attempt","Moderate load_risk, High productive_struggle",ANALOGOUS_EXAMPLE,1
"my brain is not processing this text, can you like say it out loud or a small audio clip?",INHERIT_CURRENT_CONCEPT,"cognitive_overload, request_representation, disengagement",High load_risk,REPRESENTATION_TRANSLATION,1
"quadratic formula always looks so scary, can you show me how it works with actual numbers, step by step?",jemh104__quadratic_formula,"low_confidence, confusion, procedural_focus, algebraic",High load_risk,WORKED_EXAMPLE,1
"this diagram is making me confused, can u draw it simply with less lines?",INHERIT_CURRENT_CONCEPT,"confusion, diagrammatic, request_representation",High load_risk,REPRESENTATION_TRANSLATION,1
"the parabola graph shows zeroes, ok, but can you like animate it, to see how the roots change when the equation changes?",jemh102__quadratic_zero_geometry,"confusion, graphical, request_representation, curiosity",High ki_score,REPRESENTATION_TRANSLATION,1
"this is all theory na, can u give me a practical example to make it clear?",INHERIT_CURRENT_CONCEPT,"confusion, example_request",Moderate load_risk,WORKED_EXAMPLE,1
"tangent and radius perpendicular is theorem 10.1 na, but like how does it look if i rotate the point? is it always 90 degrees?",jemh110__tangent_radius_perpendicularity,"confusion, diagrammatic, curiosity, request_representation",High ki_score opportunity,VISUAL_ANALOGY,1
"too many points to remember, can u just give me the main idea in one line?",INHERIT_CURRENT_CONCEPT,"cognitive_overload, question, request_hint",High load_risk,BRIDGE_RECAP,1
"when shapes combine like cylinder and cone, which areas to add? can u show me a picture with colours highlighting the parts we add?",jemh112__surface_area_combined_solids,"confusion, diagrammatic, request_representation","Partial mastery, High load_risk",REPRESENTATION_TRANSLATION,1
"this explanation is making it more complicated, can we go back to basics or like try simpler words?",INHERIT_CURRENT_CONCEPT,"confusion, cognitive_overload, request_hint",High load_risk,EXPLAIN,1
"BPT theorem, ok, but what if the parallel line moves up and down? can we see how the ratios stay same?",jemh106__basic_proportionality_theorem,"confusion, diagrammatic, curiosity, request_representation",High ki_score opportunity,VISUAL_ANALOGY,1
"abscissa ordinate always confuse me, can you show them on a graph with labels like with colors or something so i can remember better?",jemh107__cartesian_coordinate_system,"confusion, diagrammatic, request_representation",Moderate load_risk,REPRESENTATION_TRANSLATION,1
the proof of root 3 irrational by contradiction is too much text. can you show it like a flowchart or step by step visual form?,jemh101__proving_irrationality_root_n,"confusion, cognitive_overload, request_representation",High load_risk,REPRESENTATION_TRANSLATION,1
"this proof by contradiction method is like too much theory. can you give an actual example with numbers, not just symbols?",jemh101__proof_by_contradiction_method,"confusion, request_representation, algebraic",High load_risk,REPRESENTATION_TRANSLATION,1
"this explanation is making my head spin. can you use simpler words, like for a kid?",INHERIT_CURRENT_CONCEPT,"confusion, cognitive_overload, request_representation",High load_risk,EXPLAIN,1
"when i draw the lines for linear equations, how to find the exact point where they cut? sometimes it's not a whole number.",jemh103__graphical_method_solving,"confusion, graphical, question","Moderate load_risk, Partial mastery",REPRESENTATION_TRANSLATION,1
"i am not understanding this diagram, can you show it in like a different visual way, maybe 3d?",INHERIT_CURRENT_CONCEPT,"confusion, diagrammatic, request_representation","High load_risk, High ki_score opportunity",VISUAL_ANALOGY,1
"those 30, 45, 60 degree angles for sin cos, i just memorize them. can you show like how they actually look in triangles and why the values are like that?",jemh108__trig_ratios_specific_angles,"confusion, graphical, question, curiosity","Moderate productive_struggle, High ki_score opportunity",REPRESENTATION_TRANSLATION,1
"i get the theory but please just show me one sum, then i will catch on.",INHERIT_CURRENT_CONCEPT,"procedural_focus, example_request",Partial mastery,WORKED_EXAMPLE,1
"aaa similarity is like, if angles are same, triangles are similar. but how does that actually look? like can you show two real triangles, one big one small, that are similar?",jemh106__aaa_similarity,"confusion, question, graphical, request_representation",High ki_score opportunity,VISUAL_ANALOGY,1
"when we combine like a hemisphere on a cylinder, how do we know which areas to add? like the common part? show it clearly na.",jemh112__surface_area_combined_solids,"confusion, question, diagrammatic, request_representation","High load_risk, Active misconception",REPRESENTATION_TRANSLATION,1
can you like make this with blocks or something? i cant visualize it in my head.,INHERIT_CURRENT_CONCEPT,"confusion, request_representation, physical","High load_risk, High ki_score opportunity",REPRESENTATION_TRANSLATION,1
"this quadratic formula, it looks so long and confusing. can you just show me an example using numbers, how to solve it step by step?",jemh104__quadratic_formula,"confusion, procedural_focus, example_request, low_confidence",High load_risk,WORKED_EXAMPLE,1
"that U shape graph of quadratic equations, how to know if it opens up or down just from the equation? can you like show different equations and their graphs?",jemh102__quadratic_zero_geometry,"graphical,question,representation_shift","High load_risk,High ki_score opportunity",REPRESENTATION_TRANSLATION,1
"nth term of AP, I understand the formula but if I have to find like 10th term in this sequence 2, 5, 8, ... can you show how to put values step by step?",jemh105__nth_term_formula,"procedural_focus,question,example_request",Partial mastery,WORKED_EXAMPLE,1
"this is just too many formulas, can you explain with a real-life example like where we use it?",INHERIT_CURRENT_CONCEPT,"confusion,example_request,curiosity","High load_risk,Moderate load_risk",VISUAL_ANALOGY,1
"this proof by contradiction, I don't get the logic. why do we assume the opposite first? can you simplify the thinking behind it?",jemh101__proof_by_contradiction_method,"confusion,question,abstraction_attempt","High load_risk,Moderate productive_struggle",EXPLAIN,1
can you show this on a diagram? my brain is not getting it from the words only.,INHERIT_CURRENT_CONCEPT,"request_representation,diagrammatic,confusion",High load_risk,REPRESENTATION_TRANSLATION,1
"the tangent touches circle at one point, and radius is 90 degrees to it. can you like show it with a moving line or something like that? hard to visualize.",jemh110__tangent_radius_perpendicularity,"request_representation,diagrammatic,graphical,confusion","High load_risk,High ki_score opportunity",REPRESENTATION_TRANSLATION,1
"i need like a simpler explanation of this part, this one is too complicated",INHERIT_CURRENT_CONCEPT,"confusion,cognitive_overload,request_hint",High load_risk,EXPLAIN,1
"BPT theorem, i understand the ratio part, but how do we draw the auxiliary line sometimes? is there a trick to it?",jemh106__basic_proportionality_theorem,"question,procedural_focus,diagrammatic","Partial mastery,Moderate productive_struggle",SOCRATIC_Q,1
"this is just letters and numbers, can you show me a picture or something?",INHERIT_CURRENT_CONCEPT,"request_representation,confusion,diagrammatic",High load_risk,REPRESENTATION_TRANSLATION,1
"consistent, inconsistent, dependent systems, it's just words. can you show like a graph for each type? how they look like?",jemh103__system_classification,"question,graphical,representation_shift","High load_risk,High ki_score opportunity",REPRESENTATION_TRANSLATION,1
"sir if the right angle triangle is like rotated, how do i know which side is opposite to the angle? can u show me with a different picture?",jemh108__fundamental_trig_ratios,"confusion,question,diagrammatic,representation_shift",Moderate load_risk,REPRESENTATION_TRANSLATION,1
"i am not understanding what is going on with this graph, can you like use colors to show different parts?",INHERIT_CURRENT_CONCEPT,"confusion,question,graphical,request_representation",High load_risk,REPRESENTATION_TRANSLATION,1
"this contradiction proof, can we see it like a story or a small animation? i don't get it from just reading.",jemh101__proof_by_contradiction_method,"confusion,request_representation,graphical,verbal_analogy","High load_risk,High ki_score opportunity",VISUAL_ANALOGY,1
"this explanation is too fast for me, can u break it down into smaller steps and show me each step?",INHERIT_CURRENT_CONCEPT,"confusion,request_hint,cognitive_overload",High load_risk,EXPLAIN,1
"BPT theorem, if the line DE changes position, does the ratio still stay the same? can u show it moving?",jemh106__basic_proportionality_theorem,"curiosity,question,diagrammatic,representation_shift","High productive_struggle,High ki_score opportunity",VISUAL_ANALOGY,1
"how do we calculate surface area when like, a cone is on a cylinder? the parts where they join, do we count that? maybe a 3d model will help?",jemh112__surface_area_combined_solids,"confusion,question,diagrammatic,physical,request_representation","Moderate load_risk,Active misconception",REPRESENTATION_TRANSLATION,1
"can you like use very simple words, i dont get these maths terms only.",INHERIT_CURRENT_CONCEPT,"confusion,cognitive_overload",High load_risk,EXPLAIN,1
"the quadratic formula is so long, can you just show one simple problem solved with numbers step by step please, i get lost in the symbols.",jemh104__quadratic_formula,"confusion,procedural_focus,request_hint,algebraic",Moderate load_risk,WORKED_EXAMPLE,1
"when we have the equation y = x^2, how does that make the U-shape? can u show it by like plotting points, or something more visual?",jemh102__quadratic_zero_geometry,"confusion,graphical,representation_shift,curiosity","High ki_score opportunity,Partial mastery",REPRESENTATION_TRANSLATION,1
"i dont understand this, is there another way to show this concept, like a real life example?",INHERIT_CURRENT_CONCEPT,"confusion,request_representation,verbal_analogy",High load_risk,VISUAL_ANALOGY,1
"sir i cant understand this part, can you show it like with a picture or something?",INHERIT_CURRENT_CONCEPT,"confusion, request_representation",High load_risk,REPRESENTATION_TRANSLATION,1
"this sin squared plus cos squared equals one formula, how can i see it? like can you draw it in a triangle or something?",jemh108__pythagorean_trig_identities,"confusion, graphical, representation_shift, question","Moderate load_risk, High ki_score opportunity",VISUAL_ANALOGY,1
"this is too complex, can you give me like a simpler version? like easier words?",INHERIT_CURRENT_CONCEPT,"cognitive_overload, confusion, request_representation",High load_risk,EXPLAIN,1
"i get the idea of contradiction method, but how to write it down for the exam? like show me the exact steps or a template.",jemh101__proof_by_contradiction_method,"procedural_focus, confusion, question, request_representation","Partial mastery, Moderate load_risk",WORKED_EXAMPLE,1
"this explanation is not clicking, can we try it in another way? maybe a table or something?",INHERIT_CURRENT_CONCEPT,"confusion, representation_shift, request_representation",High load_risk,REPRESENTATION_TRANSLATION,1
"when we combine shapes for surface area, like a cone on a cylinder, how do we know which parts to count? can you show it with different colours so i can visualize?",jemh112__surface_area_combined_solids,"confusion, diagrammatic, question, request_representation","Moderate load_risk, High ki_score opportunity",VISUAL_ANALOGY,1
can you like draw it out for me? i cant understand from just reading this much.,INHERIT_CURRENT_CONCEPT,"confusion, diagrammatic, request_representation",High load_risk,REPRESENTATION_TRANSLATION,1
"i know zeroes of quadratic are x-intercepts, but how does that connect to the parabola graph? like can you show it visually, how they meet?",jemh102__quadratic_zero_geometry,"confusion, graphical, question, representation_shift","Moderate load_risk, High ki_score opportunity",REPRESENTATION_TRANSLATION,1
"the graphical method for linear equations, how does the intersection point actually mean the solution? like can you show the lines clearly intersecting at the solution?",jemh103__graphical_method_solving,"confusion, graphical, question, representation_shift","Moderate load_risk, High ki_score opportunity",REPRESENTATION_TRANSLATION,1
can you use an analogy for this concept? i am finding it hard to grasp from this explanation.,INHERIT_CURRENT_CONCEPT,"verbal_analogy, confusion, request_representation",High load_risk,VISUAL_ANALOGY,1
"this text is too much, can you show me a video for this concept pls?",INHERIT_CURRENT_CONCEPT,"confusion,request_representation",High load_risk,REPRESENTATION_TRANSLATION,1
"when they say ""roots"" of a quadratic, what does it mean on the graph? like where does the graph cut?",jemh102__quadratic_zero_geometry,"question,graphical,representation_shift","Partial mastery,High ki_score opportunity",REPRESENTATION_TRANSLATION,1
"i'm not getting it with this example, can we try a different kind of problem for this topic?",INHERIT_CURRENT_CONCEPT,"confusion,example_request",Moderate load_risk,ANALOGOUS_EXAMPLE,1
"that angle of elevation thing, is it always from the ground up? what if the object is below me? can you show that?",jemh109__angle_of_elevation,"question,diagrammatic,representation_shift",High ki_score opportunity,REPRESENTATION_TRANSLATION,1
"proving root 5 is irrational, all these 'p' and 'q' are confusing. can you show it using real numbers like step by step?",jemh101__proving_irrationality_root_n,"confusion,algebraic,request_representation",High load_risk,EXPLAIN,1
"i dont know what i am looking at, can you highlight the important parts in this diagram?",INHERIT_CURRENT_CONCEPT,"confusion,diagrammatic,request_representation",High load_risk,REPRESENTATION_TRANSLATION,1
"when we put a cylinder on a hemisphere, how does the volume formula change? like where does the new shape start and end?",jemh112__volume_combined_solids,"question,diagrammatic,representation_shift","Partial mastery,High ki_score opportunity",VISUAL_ANALOGY,1
"BPT theorem, i understand the ratio part, but how do we know the line is parallel? can you show an example where it's NOT parallel and how it breaks?",jemh106__basic_proportionality_theorem,"confusion,question,diagrammatic,representation_shift","Moderate load_risk,High ki_score opportunity",SOCRATIC_COUNTEREXAMPLE,1
"i am struggling here, can you explain this topic like you're talking to a 5th grader?",INHERIT_CURRENT_CONCEPT,"confusion,request_hint",High load_risk,EXPLAIN,1
"what is abscissa and ordinate? can you show them on a graph with points like A(2,3) so i can see what they are?",jemh107__cartesian_coordinate_system,"question,graphical,diagrammatic","High load_risk,Low productive_struggle",REPRESENTATION_TRANSLATION,1
"This SOH CAH TOA thing, can you like show it with a real-life ramp or something instead of just a triangle drawing? Like, how does it relate to the height of a building?",jemh108__fundamental_trig_ratios,"question, representation_shift, diagrammatic","Moderate load_risk, High ki_score opportunity",REPRESENTATION_TRANSLATION,1
"When we combine solids, the surface area calculation is confusing, which parts to add which to subtract, like show it with colours na?",jemh112__surface_area_combined_solids,"confusion, question, diagrammatic, representation_shift","High load_risk, Partial mastery",REPRESENTATION_TRANSLATION,1
"Too much text here, can i just see the formula and an example sum please?",INHERIT_CURRENT_CONCEPT,"cognitive_overload, request_representation, procedural_focus","High load_risk, Low productive_struggle",WORKED_EXAMPLE,1
"this explanation is just words, can you show it as a picture or animation please?",INHERIT_CURRENT_CONCEPT,"confusion, request_representation, diagrammatic","High load_risk, Partial mastery",REPRESENTATION_TRANSLATION,1
"i dont understand what is going on here, can you tell me in simple english?",INHERIT_CURRENT_CONCEPT,"confusion, question",High load_risk,EXPLAIN,1
"this topic is so dry, can we do something interactive? like a game?",INHERIT_CURRENT_CONCEPT,"disengagement, request_representation, curiosity",Low productive_struggle,ANALOGOUS_EXAMPLE,1
